西安水庫,2018,澎湖地區,澎湖縣望安鄉,1/3,10.90,13.60,58.85 %
七美水庫,2018,澎湖地區,澎湖縣七美鄉,1/3,18.90,0.27,0.95 %
石門水庫,2018,臺灣北區,桃園市龍潭區、大溪區、復興區,1/4,244.68,19635.54,98.61 %
西勢水庫,2018,臺灣北區,基隆巿暖暖區,1/4,71.03,33.73,77.2 %
新山水庫,2018,臺灣北區,基隆巿安樂區,1/4,85.62,956.00,95.41 %
翡翠水庫,2018,臺灣北區,新北市新店區,1/4,166.60,30431.98,90.7 %
寶山水庫,2018,臺灣北區,新竹縣寶山鄉,1/4,139.16,393.85,73.21 %
寶山第二水庫,2018,臺灣北區,新竹縣寶山鄉,1/4,135.21,1332.36,42.34 %
永和山水庫,2018,臺灣中區,苗栗縣頭份鎮、三灣鄉,1/4,72.67,1300.47,43.36 %
大埔水庫,2018,臺灣中區,新竹縣峨眉鄉,1/4,67.81,345.36,65.17 %
明德水庫,2018,臺灣中區,苗栗縣頭屋鄉,1/4,51.22,255.69,20.04 %
鯉魚潭水庫,2018,臺灣中區,苗栗縣卓蘭鎮大湖鄉,1/4,290.77,7887.21,68.6 %
德基水庫,2018,臺灣中區,臺中市和平區,1/4,1405.97,14247.16,94.98 %
石岡壩,2018,臺灣中區,臺中市石岡區,1/4,272.31,40.85,30.74 %
霧社水庫,2018,臺灣中區,南投縣仁愛鄉,1/4,1004.12,4142.42,94.88 %
日月潭水庫,2018,臺灣中區,南投縣魚池鄉,1/4,748.06,12585.73,97.35 %
仁義潭水庫,2018,臺灣南區,嘉義縣番路鄉,1/4,100.66,1578.45,62.34 %
蘭潭水庫,2018,臺灣南區,嘉義巿,1/4,71.14,611.65,66.07 %
白河水庫,2018,臺灣南區,臺南市白河區,1/4,104.00,65.00,9.41 %
烏山頭水庫,2018,臺灣南區,臺南市六甲區、官田區,1/4,55.40,5363.00,68.51 %
曾文水庫,2018,臺灣南區,嘉義縣大埔鄉,1/4,213.19,24244.00,52.41 %
南化水庫,2018,臺灣南區,臺南市南化區,1/4,174.80,7019.79,73.89 %
鏡面水庫,2018,臺灣南區,臺南市南化區,1/4,140.75,76.09,73.87 %
