台灣集團名稱,中港上市公司名稱,項目,董事長,總經理,行業別,台資,上市地點,股票代號,上市年份,幣別,狀態,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,記載欄位,備註,年報網址
和碩集團,無,,,,,,,,,港幣,無上市公司,,,,,,,,,,,,,,
燦坤企業集團,無,,,,,,,,,港幣,無上市公司,,,,,,,,,,,,,,
億光集團,無,,,,,,,,,港幣,無上市公司,,,,,,,,,,,,,,
練台生集團,無,,,,,,,,,港幣,無上市公司,,,,,,,,,,,,,,
東和鋼鐵集團,無,,,,,,,,,港幣,無上市公司,,,,,,,,,,,,,,
台玻集團,無,,,,,,,,,港幣,無上市公司,,,,,,,,,,,,,,
華碩集團,無,,,,,,,,,港幣,無上市公司,,,,,,,,,,,,,,
85度C,無,,,,,,,,,港幣,無上市公司,,,,,,,,,,,,,,
和桐集團,無,,,,,,,,,港幣,無上市公司,,,,,,,,,,,,,,
廣達集團,無,,,,,,,,,港幣,無上市公司,,,,,,,,,,,,,,
聯發科集團,汇顶科技,,张帆,张帆,其它行业,,深圳,603160,2016,人民幣,OK,,,,,,,,,11468839,16391414,20030301,,智能人机交互技术的研究与开发。,
,汇顶科技,,,,,,,,,人民幣,,,,,,,,,,3079331261,3681594309,3721291686,,,
中強光電集團,無,,,,,,,,,人民幣,無上市公司,,,,,,,,,,,,,,
和泰集團,無,,,,,,,,,人民幣,無上市公司,,,,,,,,,,,,,,
建國工程,無,,,,,,,,,人民幣,無上市公司,,,,,,,,,,,,,,
東森？,自然美,補助款,雷倩,Next Focus Holdings Limited,纺织、服饰及个人护理,y,香港,157,,港幣,OK,2170000,7490000,9359000,5569000,6892000,6965000,2134000,8527000,6498000,4187000,2230000,,,http://www.ir-cloud.com/hongkong/00157/irwebsite_c/index.php?mod=finreports
,自然美,營收,雷倩,Next Focus Holdings Limited,,y,,,,港幣,,592701000,538092000,485389000,591295000,591295000,439421000,505761000,506913000,475225000,399579000,369525000,,,
達芙妮,達芙妮國際控股有限公司,補助款,张智凯,Lucky Earn International Limited,纺织、服饰及个人护理,y,香港,210,,港幣,OK,4730000,29623000,30488000,35569000,49895000,37192000,14647000,6208000,5880000,2390000,19068000,,,http://www.daphneholdings.com/financial-reports/
,達芙妮國際控股有限公司,營收,张智凯,Lucky Earn International Limited,,y,,,,港幣,,5289297000,5831994000,6623840000,8576762000,10529100000,10446500000,103556000000,8379095000,6501677000,5210995000,4127100000,,,
