選舉類型,區域,名字,性別,政黨,現任與否,當選註記,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,黃志學,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,曾芳春,男,無,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,陳錦倫,男,民主進步黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,陳貴參,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,陳採鳳,女,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,陳炳奇,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,陳亮宏,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,陳月英,女,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,許阿甘,女,民主進步黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,許民衡,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,莫健明,男,無,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,莊文斌,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,張王青,女,無,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,胡國龍,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,邱昭煌,男,建國黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,林福彰,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,林建營,男,無,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,林永鴻,男,民主進步黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,林民政,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,李連明,男,無,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,李添興,男,無,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,李宏文,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,李合元,男,民主進步黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,何勝豐,男,無,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,南投縣,何基德,男,無,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,金門縣,謝宜璋,男,無,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,金門縣,蔡水游,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,金門縣,董東漢,男,無,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,金門縣,楊永立,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,金門縣,陳恩賜,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,金門縣,陳水賜,男,無,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,金門縣,陳水木,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,金門縣,許建中,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,金門縣,莊良時,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,金門縣,張光海,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,金門縣,洪成發,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,金門縣,洪允典,男,無,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,金門縣,林榮輝,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,金門縣,李成義,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,魏東河,男,無,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,鍾逸文,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,謝國榮,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,閻廷相,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,盧博基,男,民主進步黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,蔡文景,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,楊文值,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,傅朝明,男,無,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,傅素嬌,女,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,陳榮聰,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,陳榮財,男,民主進步黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,陳朝松,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,陳文光,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,郭順雄,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,張德騫,男,無,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,徐光榮,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,徐永滿,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,施金樹,男,民主進步黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,邵金鳳,女,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,林鳳旋,女,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,林連明,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,田智宣,男,民主進步黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,花蓮縣,王燕美,女,無,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,關得基,男,無,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,羅素貞,女,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,魏炎輝,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,簡連發,男,民主進步黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,謝阿溪,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,賴翰霆,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,歐耀北,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,劉添梧,男,民主進步黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,劉石純,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,楊政誠,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,黃適超,男,民主進步黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,黃浴沂,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,游祥德,男,民主進步黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,游旺欉,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,陳福山,男,民主進步黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,陳金麟,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,陳秀暖,女,無,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,陳文昌,男,民主進步黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,張春煌,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,張建榮,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,林錫明,男,無,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,林榮星,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,林傳泉,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,林進財,男,民主進步黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,林棋山,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,林政盛,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,林姿妙,女,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,林正標,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,李清林,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,吳福田,男,民主進步黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,江碧華,女,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,宜蘭縣,江明勝,男,無,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,蔡義勇,男,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,潘健一,男,中國國民黨,Y,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,潘村雲,男,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,葉志生,男,中國國民黨,Y,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,楊繡穗,女,中國國民黨,Y,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,楊德金,男,中國國民黨,Y,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,曾玉霞,女,中國國民黨,Y,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,章運金,男,中國國民黨,Y,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,陳慶富,男,中國國民黨,Y,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,陳文書,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,莊基文,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,高清峰,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,馬賢生,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,孫永昌,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,洪國治,男,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,洪天盛,男,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,林富雄,男,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,林勝智,男,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,林光雄,男,中國國民黨,Y,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,周利根,男,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,宋進財,男,中國國民黨,Y,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,吳春芳,女,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,平原原住民,王清堅,男,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,蘇正清,男,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,簡東明,男,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,謝瑞民,男,中國國民黨,Y,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,蔡文悌,男,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,劉繁治,男,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,雲天寶,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,湯進賢,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,陳榮貴,男,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,陳建台,男,中國台灣原住民黨,Y,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,郭健平,男,無黨籍,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,許淑銀,女,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,許阿桃,女,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,張金榮（原）,男,中國國民黨,Y,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,高瑞馨,男,中國國民黨,,,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,胡新一,男,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,邱勝英,男,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,林榮進,男,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,林榮木,男,中國國民黨,Y,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,林玉如,女,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,周康弘,男,中國國民黨,Y,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,卓文華,男,無黨籍,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,沙本賞,男,中國國民黨,Y,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,李宜潔,女,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,李玉章,男,中國國民黨,Y,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,李三和,男,中國國民黨,Y,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,吳天福,男,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,何信軍,男,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,江明順,男,無黨籍,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,朱連濟,女,中國國民黨,N,*,,,,,,,,,,,,,,
1998第十四屆縣市議員選舉,山原原住民,伍新財,男,中國國民黨,N,*,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,藍健菖,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,藍星木,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,簡金城,男,無,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,戴德銘,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,蕭裕正,男,民主進步黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,蔡慶源,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,蔡媽福,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,蔡松雄,男,無,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,蔡見興,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,劉少春,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,楊敏郎,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,楊色玉,女,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,黃添財,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,黃啟川,男,無,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,黃芳仁,男,無,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,黃石龍,男,無,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,曾長發,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,陳漢昇,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,陳萬達,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,陳雲龍,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,陳玲俐,女,民主進步黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,陳春生,男,民主進步黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,陳村雄,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,郭玟成,男,民主進步黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,許崑源,男,無,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,莊啟旺,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,梅再興,男,新黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,張榮顯,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,張瑞德,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,張清泉,男,民主進步黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,張省吾,男,無,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,高宗英,男,民主進步黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,洪茂俊,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,林永堅,男,民主進步黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,周鍾溢,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,李復興,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,李喬如,女,民主進步黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,吳重新,男,無,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,吳林淑敏,女,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,朱安雄,男,中國國民黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,朱文慶,男,無,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,王青,女,民主進步黨,,,,,,,,,,,,,,,,
1998第五屆高雄市議員選舉,高雄市,王志雄,男,中國國民黨,,,,,,,,,,,,,,,,
1998臺灣省諮議會,澎湖縣,楊國夫,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,臺南縣,謝鈞惠,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,臺南市,李明通,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,臺東市,李忠憲,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,臺北縣,羅明旭,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,臺北縣,陳照郎,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,臺中縣,黃正義,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,臺中縣,林敏霖,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,臺中市,賴誠吉,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,臺中市,許幸惠,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,臺中市,林柏榕,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,彰化縣,陳紹輝,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,彰化縣,林錫山,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,嘉義縣,邱俊男,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,嘉義市,張炳文,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,嘉義市,林健治,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,新竹縣,陳濬全,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,新竹市,楊金木,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,雲林縣,歐明憲,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,基隆市,柯水源,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,高雄縣,林仙保,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,桃園縣,彭添富,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,桃園縣,陳進祥,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,桃園縣,呂進芳,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,苗栗縣,林久翔,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,屏東縣,謝漢津,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,屏東縣,邱茂男,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,南投縣,陳啟吉,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,南投縣,全文盛,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,花蓮市,莊金生,,,,,,,,,,,,,,,,,,
1998臺灣省諮議會,宜蘭縣,林聰明,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,澎湖縣,鄭光博,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,臺南縣,吳南河,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,臺南市,李明通,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,臺東縣,鄭烈,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,臺北縣,張倉顯,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,臺北市,蕭裕珍,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,臺中縣,王戴春滿,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,臺中市,郭晏生,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,臺中市,許幸惠,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,彰化縣,鄭家吉,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,嘉義縣,黃文_,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,新竹縣,黃_秀,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,新竹縣,范振宗,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,新竹縣,周細滿,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,雲林縣,陳福來,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,基隆市,王東暉,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,高雄縣,余玲雅,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,桃園縣,陳進祥,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,桃園縣,林哲藝,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,苗栗縣,魏早炳,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,南投縣,陳啟吉,,,,,,,,,,,,,,,,,,
2001臺灣省諮議會,宜蘭縣,游振亮,,,,,,,,,,,,,,,,,,
2002直轄市議員選舉,原住民,曾福三,男,中國國民黨,,,,,,,,,,,,,,,,
2002直轄市議員選舉,原住民,曹明輝,男,中國國民黨,,,,,,,,,,,,,,,,
2002直轄市議員選舉,原住民,李銀來,男,中國國民黨,Y,*,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,羅宗勝,男,民主進步黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,顏聖冠,女,民主進步黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,藍世聰,男,民主進步黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,戴錫欽,男,親民黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,賴素如,女,中國國民黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,蔣乃辛,男,中國國民黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,潘懷宗,男,新黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,歐陽龍,男,無,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,厲耿桂芳,女,中國國民黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,劉耀仁,男,民主進步黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,楊實秋,男,中國國民黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,黃珊珊,女,親民黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,黃幼中,女,親民黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,費鴻泰,男,新黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,陳孋輝,女,中國國民黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,陳錦祥,男,中國國民黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,陳碧峰,男,民主進步黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,陳嘉銘,男,民主進步黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,陳義洲,男,中國國民黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,陳惠敏,男,中國國民黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,陳政忠,男,中國國民黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,陳玉梅,女,中國國民黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,陳永德,男,中國國民黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,陳正德,男,民主進步黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,許富男,男,民主進步黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,常中天,男,新黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,秦儷舫,女,無,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,徐國勇,男,民主進步黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,徐佳青,女,民主進步黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,侯冠群,男,新黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,林晉章,男,中國國民黨,,,,,,,,,,,,,,,,
2002第九屆台北市議員選舉,臺北市,林奕華,女,中國國民黨,,,,,,,,,,,,,,,,
