選舉類型,區域,名字,性別,政黨,現任與否,當選註記,,,,,,,,,,,,,,
1951臺灣省臨時省議會,彰化縣,蕭敦仁,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,彰化縣,游蘇鴦,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,彰化縣,林生財,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,彰化縣,周天啟,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,彰化縣,呂世明,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,嘉義縣,劉傳來,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,嘉義縣,劉啟光,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,嘉義縣,黃宗焜,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,嘉義縣,張李德和,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,嘉義縣,朱榮貴,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,新竹縣,許金德,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,新竹縣,姜阿新,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,雲林縣,陳海永,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,雲林縣,李萬居,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,雲林縣,李茂炎,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,基隆市,陳漢周,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,高雄縣,劉朝四,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,高雄縣,陳皆興,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,高雄縣,邱智生,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,高雄市,黃堯,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,高雄市,何傳,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,桃園縣,陳長壽,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,桃園縣,張芳燮,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,苗栗縣,劉闊才,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,苗栗縣,黃運金,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,屏東縣,蕭秀利,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,屏東縣,陳文石,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,屏東縣,林璧輝,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,南投縣,劉金約,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,南投縣,陳萬,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,花蓮縣,馬有岳,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,宜蘭縣,蘇東芳,,,,,,,,,,,,,,,,,,
