議員,區域,1945,1951,1954,1957,1959,1960,1963,1968,1973,1977,1981,1985,1989,1994,1998,2001,2002,2004,2005,2006,2007,2009,2010,2014,2018,,,,,,,,,
葉麗娟,彰化縣,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,1,,,,,,,,,
游振雄,彰化縣,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,,,,,,,,,,
蔡錦棟,嘉義縣,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
林寶瓶,嘉義縣,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,,,,,,,,,,
許世賢,嘉義縣,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
蔡榮豐,嘉義市,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,1,,,,,,,,,
郭明賓,嘉義市,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,1,,,,,,,,,
黃永欽,嘉義市,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
吳上明,嘉義市,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,1,,,,,,,,,
張榮藏,嘉義市,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,1,,,,,,,,,
張志弘,新竹縣,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,,,,,,,,,,
鄭美琴,新竹縣,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,1,,,,,,,,,
林耕仁,新竹市,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,1,,,,,,,,,
謝文進,新竹市,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,,,,,,,,,,
徐信芳,新竹市,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,1,,,,,,,,,
張祖琰,新竹市,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,1,,,,,,,,,
鄭成光,新竹市,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,1,,,,,,,,,
鄭宏輝,新竹市,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,,,,,,,,,,
鄭正宗,新竹市,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,1,,,,,,,,,
鍾淑英,新竹市,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,1,,,,,,,,,
陳鴻源,新北市,,,,,,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
陳錦錠,新北市,,,,,,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
