item_id	name	duration	inLanguage	creator	contentRating	rating	genre	director	popularity	country	budget
tt0023517	Stout Hearts and Willing Hands	PT20M	English	Albert AustinWalter Weems	Passed	6.4	Short/Comedy	Bryan Foy	NA	USA	NA
tt0023152	The Loud Mouth	PT20M	English		NA	5.9	Short/Comedy	Del Lord	NA	USA	NA
tt0023711	Wrestling Swordfish	PT8M	English	Gene Towne	NA	5.7	Documentary/Short/Adventure/Sport	NA	NA	USA	NA
tt0023441	Screen Souvenirs	NA	English		NA	NA	S/h/o/r/t	NA	NA	USA	NA
tt0152771	Swing High	PT10M	English		Approved	6.9	Documentary/Short/Sport	Jack Cummings	NA	USA	NA
tt0023109	Lady and Gent	PT1H24M	English	Grover JonesWilliam Slavens McNutt	NA	5.8	Drama/Sport	Stephen Roberts	NA	USA	NA
tt0022430	The Star Witness	PT1H8M	English	Lucien HubbardLucien HubbardBud Barsky	TV-G	6.4	D/r/a/m/a	William A. Wellman	NA	USA	NA
tt0023686	What Price Hollywood?	PT1H28M	English	Gene FowlerRowland BrownAdela Rogers St. JohnsJane MurfinBen MarksonRobert Presnell Sr.Allen RivkinLouis Stevens	Passed	7.6	D/r/a/m/a	George Cukor	NA	USA	$411,676
            
tt0023876	Cavalcade	PT1H52M	English	Reginald BerkeleySonya LevienNoël Coward	Passed	6.0	Drama/Romance/War	Frank Lloyd	NA	USA	$1,180,280
            
tt0022879	A Farewell to Arms	PT1H20M	English	Benjamin GlazerOliver H.P. GarrettErnest HemingwayLaurence Stallings	Unrated	6.5	Drama/Romance/War	Frank Borzage	NA	USA	$800,000
            
tt0024763	When Ladies Meet	PT1H25M	English	John MeehanLeon GordonRachel Crothers	Passed	6.9	Comedy/Romance	Harry BeaumontRobert Z. Leonard	NA	USA	NA
tt0024496	Reunion in Vienna	PT1H38M	English	Robert E. SherwoodErnest VajdaClaudine West	NA	6.0	Drama/Romance	Sidney Franklin	NA	USA	NA
tt0023470	The Sign of the Cross	PT1H48M	English	Waldemar YoungSidney BuchmanWilson BarrettDudley NicholsHenryk Sienkiewicz	Not Rated	6.9	Drama/History	Cecil B. DeMille	NA	USA	NA
tt0024034	42nd Street	PT1H29M	English	Rian JamesJames SeymourBradford RopesWhitney Bolton	Passed	7.6	Comedy/Musical/Romance	Lloyd Bacon	NA	USA	$439,000
            
tt0023042	I Am a Fugitive from a Chain Gang	PT1H32M	English	Robert E. BurnsHoward J. GreenBrown HolmesSheridan Gibney	Passed	8.1	Crime/Drama/Film-Noir	Mervyn LeRoy	NA	USA	$195,845
            
tt0024240	Lady for a Day	PT1H36M	English	Robert RiskinDamon Runyon	Passed	7.5	Comedy/Drama	Frank Capra	NA	USA	NA
tt0024264	Little Women	PT1H55M	English	Louisa May AlcottSarah Y. MasonVictor HeermanDel AndrewsAlfred BlockCharles BrackettSalisbury FieldDavid HempsteadJane MurfinG.B. SternWanda TuchockJohn Twist	Not Rated	7.3	Drama/Family/Romance	George Cukor	NA	USA	$424,000
            
tt0024548	She Done Him Wrong	PT1H6M	English	Mae WestHarvey F. ThewJohn Bright	Passed	6.5	Comedy/Drama/History/Musical/Romance	Lowell Sherman	NA	USA	$200,000
            
tt0023488	Smilin' Through	PT1H38M	English	Jane CowlJane MurfinErnest VajdaClaudine WestDonald Ogden StewartJames B. FaganJohn L. BalderstonFrances MarionJohn Meehan	Approved	7.0	Drama/Romance	Sidney Franklin	NA	USA	$851,000
            
tt0024610	State Fair	PT1H39M	English	Sonya LevienPaul GreenPhilip StongFrank CravenJulien JosephsonPhilip StongHenry Wales	Passed	6.9	Comedy/Drama/Romance	Henry King	NA	USA	NA
tt0024473	The Private Life of Henry VIII.	PT1H37M	English	Lajos BiróArthur WimperisArthur Wimperis	Not Rated	7.2	Biography/Comedy/Drama/History/Romance	Alexander Korda	NA	UK	&pound;60,000
            
tt0024660	Three Little Pigs	PT9M	English	Pinto ColvigAlbert HunterBoris V. MorkovinTed SearsWebb Smith	Passed	7.5	Animation/Short/Comedy/Family/Musical	Burt Gillett	NA	USA	$15,720
            
tt0023854	Building a Building	PT7M	English		Not Rated	7.2	Animation/Short/Comedy/Family/Romance	David Hand	NA	USA	NA
tt0142655	The Merry Old Soul	PT8M	English		NA	6.1	Animation/Short/Comedy/Family/Musical	Walter LantzWilliam Nolan	NA	USA	NA
tt0024580	So This Is Harris!	PT28M	English	Ben HolmesMark Sandrich	NA	6.2	Short/Comedy/Music	Mark Sandrich	NA	USA	NA
tt0024467	A Preferred List	PT20M	English	Thomas LennonWalter Weems	NA	6.3	Short/Comedy	Leigh Jason	NA	USA	NA
tt0024342	Mister Mugg	PT20M	English	James W. HorneJ.A. Howe	NA	NA	Short/Comedy	James W. Horne	NA	USA	NA
tt0024231	Krakatoa	PT23M	English		NA	6.3	Documentary/Short	NA	NA	USA	NA
tt0024327	Menu	PT10M	English	Thorne Smith	Approved	6.4	Comedy/Fantasy/Short	Nick Grinde	NA	USA	NA
tt0023443	Morze	PT9M	Polish	NA	NA	NA	Documentary/Short	Wanda JakubowskaStanislaw WohlJerzy Zarzycki	NA	Poland	NA
tt0024069	Gold Diggers of 1933	PT1H37M	English	Erwin S. GelseyJames SeymourDavid BoehmBen MarksonAvery Hopwood	Not Rated	8.0	Comedy/Drama/Musical	Mervyn LeRoy	NA	USA	$433,000
            
tt0023305	One Way Passage	PT1H7M	English	Wilson MiznerJoseph JacksonRobert LordTay Garnett	Unrated	8.0	Comedy/Drama/Romance	Tay Garnett	NA	USA	NA
tt0023374	Rasputin and the Empress	PT2H1M	English	Charles MacArthurLenore J. CoffeeJohn ColtonBen HechtBernard H. HymanJohn Lee MahinJohn MeehanMilton RaisonRobert E. SherwoodLaurence StallingsC. Gardner SullivanCarey WilsonMercedes de Acosta	Passed	6.7	Biography/Drama/History	Richard BoleslawskiCharles Brabin	NA	USA	NA
tt0024475	The Prizefighter and the Lady	PT1H42M	English	John Lee MahinJohn MeehanFrances Marion	Passed	6.4	Comedy/Crime/Romance/Sport	W.S. Van DykeHoward Hawks	NA	USA	$682,000
            
tt0025493	The Merry Widow	PT1H39M	English	Ernest VajdaSamson RaphaelsonViktor LéonLeo SteinMarcel AchardLorenz HartErnst LubitschViktor LéonHenri MeilhacSamson RaphaelsonLeo SteinErnest Vajda	Passed	7.4	Comedy/Musical/Romance	Ernst Lubitsch	$329,180	USA	NA
tt0024816	The Affairs of Cellini	PT1H26M	English	Bess MeredythEdwin Justus MayerFred De Gresac	Approved	6.1	Comedy/Drama/History	Gregory La Cava	NA	USA	$549,370
            
tt0025164	The Gay Divorcee	PT1H47M	English	Dwight TaylorKenneth S. WebbSamuel HoffensteinGeorge Marion Jr.Dorothy YostEdward KaufmanRobert BenchleyH.W. HanemannJ. Hartley MannersStanley RauhDwight Taylor	Approved	7.6	Comedy/Musical/Romance	Mark Sandrich	NA	USA	$520,000
            
tt0024991	Cleopatra	PT1H40M	English	Waldemar YoungVincent LawrenceBartlett Cormack	Passed	6.9	Biography/Drama/History	Cecil B. DeMille	NA	USA	NA
tt0025607	Operator 13	PT1H25M	English	Harvey F. ThewZelda SearsEve GreeneRobert W. ChambersJohn LynchHerman J. MankiewiczFred Niblo Jr.Allen RivkinC. Gardner SullivanHarvey F. ThewP.J. Wolfson	Passed	7.7	Drama/History/Romance/War/Western	Richard Boleslawski	NA	USA	NA
tt0023990	Eskimo	PT1H57M	English	John Lee MahinPeter Freuchen	Passed	7.1	D/r/a/m/a	W.S. Van Dyke	NA	USA	$950,000
            
tt0025601	One Night of Love	PT1H24M	English	S.K. LaurenJames GowEdmund H. NorthDorothy SpeareCharles Beahan	Passed	5.9	Music/Romance	Victor Schertzinger	NA	USA	NA
tt0024025	Flying Down to Rio	PT1H29M	English	Cyril HumeH.W. HanemannErwin S. GelseyAnne CaldwellLou BrockAdele ComandiniJoseph FieldsThomas LennonFred Niblo Jr.Gilberto SoutoHarvey F. ThewH. Reynolds	Passed	6.7	Comedy/Musical/Romance	Thornton Freeland	NA	USA	$462,000
            
tt0025774	She Loves Me Not	PT1H25M	English	Benjamin GlazerEdward HopeHoward Lindsay	Approved	6.4	Comedy/Musical	Elliott Nugent	NA	USA	NA
tt0025423	The Lost Patrol	PT1H13M	English	Dudley NicholsGarrett FortPhilip MacDonald	Passed	6.9	Adventure/War	John Ford	NA	USA	$254,000
            
tt0025316	It Happened One Night	PT1H45M	English	Robert RiskinSamuel Hopkins Adams	Not Rated	8.1	Comedy/Romance	Frank Capra	NA	USA	$325,000
            
tt0025124	Flirtation Walk	PT1H37M	English	Delmer DavesDelmer DavesLouis F. Edelman	Not Rated	5.8	Musical/Romance	Frank Borzage	NA	USA	NA
tt0025238	Here Comes the Navy	PT1H27M	English	Earl BaldwinBen MarksonBen MarksonAlfred A. CohnJoe Traub	Approved	6.4	Comedy/Drama/Romance/War	Lloyd Bacon	NA	USA	NA
tt0025301	Imitation of Life	PT1H51M	English	Fannie HurstWilliam HurlbutPreston SturgesFinley Peter DunneFinley Peter DunneWalter FerrisBianca GilchristVictor HeermanVictor HeermanSarah Y. MasonSamuel OrnitzArthur Richman	Approved	7.6	Drama/Romance	John M. Stahl	NA	USA	NA
tt0024865	The Barretts of Wimpole Street	PT1H49M	English	Rudolph BesierErnest VajdaClaudine WestDonald Ogden Stewart	Passed	7.0	Biography/Drama/Romance	Sidney Franklin	NA	USA	NA
tt0025272	The House of Rothschild	PT1H28M	English	Nunnally JohnsonGeorge Hembert WestleyGeorge ArlissMaude T. HowellSam Mintz	Passed	6.8	Biography/Drama/History/War	Alfred L. WerkerSidney Lanfield	NA	USA	NA
tt0025878	The Thin Man	PT1H31M	English	Albert HackettFrances GoodrichDashiell Hammett	Not Rated	8.1	Comedy/Crime/Mystery	W.S. Van Dyke	NA	USA	$226,408
            
tt0025986	The White Parade	PT1H20M	English	Rian JamesJesse Lasky Jr.Rian JamesSonya LevienErnest Pascal	Approved	6.8	D/r/a/m/a	Irving Cummings	NA	USA	NA
tt0025948	Viva Villa!	PT1H55M	English	Ben HechtEdgecumb PinchonO.B. StadeHoward HawksJames Kevin McGuinnessHoward Emmett Rogers	Passed	6.5	Biography/Western	Jack ConwayHoward HawksWilliam A. Wellman	NA	USA	$1,017,400
            
tt0027126	The Tortoise and the Hare	PT9M	English	AesopLarry Clemmons	Approved	7.3	Animation/Short/Comedy/Family	Wilfred Jackson	NA	USA	NA
tt0025260	Holiday Land	PT8M	English	Sid Marcus	Passed	5.8	Animation/Short/Musical/Family/Fantasy	NA	NA	USA	NA
tt0025332	Jolly Little Elves	PT9M	English	Manuel MorenoWalter LantzVictor McLeod	Passed	6.1	Animation/Musical/Short/Family/Comedy	Manuel Moreno	NA	USA	NA
tt0025019	La Cucaracha	PT20M	English	Lloyd CorriganCarly WhartonJohn TwistJack Wagner	Approved	5.8	Short/Comedy/Musical	Lloyd Corrigan	NA	USA	$50,000
            
tt0025488	Men in Black	PT19M	English	Felix AdlerFelix Adler	Approved	7.9	Comedy/Short	Ray McCarey	NA	USA	NA
