ID,圖片網址,,座標,地址,候選人名稱,次要,共同,看板標語,標語 tag,黨徽,可能須排除,原始答案
1050,/proj-assets/election-board/uploads/images/1543038292-08cb76f550d55419d45bf553b3f4064b.jpg,3,POINT(25.0651248164276 121.653109134771),新北市汐止區大同路二段233號,唐瓔庭,,,0,,,y,唐瓔庭
1050,/proj-assets/election-board/uploads/images/1543038292-08cb76f550d55419d45bf553b3f4064b.jpg,,POINT(25.0651248164276 121.653109134771),新北市汐止區大同路二段233號,黃智姍,黃國昌,,"給新政治一個機會,勇敢改變",年輕,Y,,黃智姍
1051,/proj-assets/election-board/uploads/images/1543038334-4efe9cb35922e6f935370541ba865dad.jpg,3,POINT(25.0644686111111 121.652793055556),新北市汐止區大同路二段200號,侯友宜,,白珮茹,選對人、做對事,,N,,侯友宜
1051,/proj-assets/election-board/uploads/images/1543038334-4efe9cb35922e6f935370541ba865dad.jpg,,POINT(25.0644686111111 121.652793055556),新北市汐止區大同路二段200號,廖先翔,"侯友宜,韓國瑜",,"議會新活水,政大碩士",學歷,Y,,廖先翔
1051,/proj-assets/election-board/uploads/images/1543038334-4efe9cb35922e6f935370541ba865dad.jpg,,POINT(25.0644686111111 121.652793055556),新北市汐止區大同路二段200號,白珮茹,,侯友宜,選對人、做對事,,N,,白珮茹
1052,/proj-assets/election-board/uploads/images/1543038376-2d4711915c0529c45c9a8ac0f618c245.jpg,,POINT(25.0615995002124 121.650170192135),新北市汐止區台5線102號,張錦豪,,蘇貞昌,"拚,懇求,改變新北",,Ｎ,,張錦豪
1052,/proj-assets/election-board/uploads/images/1543038376-2d4711915c0529c45c9a8ac0f618c245.jpg,,POINT(25.0615995002124 121.650170192135),新北市汐止區台5線102號,蘇貞昌,,張錦豪,"拚,懇求,改變新北",,Ｎ,,蘇貞昌
1053,/proj-assets/election-board/uploads/images/1543038409-a7b4a60b5ae9e8317ae4a2c9aae64f67.jpg,,POINT(25.0615841666667 121.651893611111),新北市汐止區南興路29號,張錦豪,,蘇貞昌,法學碩士,學歷,Ｎ,,張錦豪
1053,/proj-assets/election-board/uploads/images/1543038409-a7b4a60b5ae9e8317ae4a2c9aae64f67.jpg,,POINT(25.0615841666667 121.651893611111),新北市汐止區南興路29號,蘇貞昌,,張錦豪,會做事,,Ｎ,,蘇貞昌
1054,/proj-assets/election-board/uploads/images/1543038439-baa4e5a25a27f1f84275cf42f958f155.jpg,,POINT(25.0618266388304 121.651748350546),新北市汐止區新台五路一段129號,周雅玲,,,玲與您 向前行,,Y,,周雅玲
1054,/proj-assets/election-board/uploads/images/1543038439-baa4e5a25a27f1f84275cf42f958f155.jpg,,POINT(25.0618266388304 121.651748350546),新北市汐止區新台五路一段129號,廖先翔,"侯友宜,韓國瑜",,"議會新活水,政大碩士",學歷,Y,,廖先翔
1055,/proj-assets/election-board/uploads/images/1543038500-1744bfe4862a1f3bbbf5f01cb29e36a2.jpg,3,POINT(25.0636708333333 121.657091111111),新北市汐止區新興路35號,侯友宜,,黃瑞傳,"拚經濟顧生活,安居樂業,選對的人,選賢與能,清廉服務",,Ｎ,,侯友宜
1055,/proj-assets/election-board/uploads/images/1543038500-1744bfe4862a1f3bbbf5f01cb29e36a2.jpg,,POINT(25.0636708333333 121.657091111111),新北市汐止區新興路35號,周雅玲,,,玲與您 向前行,,Y,,周雅玲
1055,/proj-assets/election-board/uploads/images/1543038500-1744bfe4862a1f3bbbf5f01cb29e36a2.jpg,,POINT(25.0636708333333 121.657091111111),新北市汐止區新興路35號,黃瑞傳,,侯友宜,"拚經濟顧生活,安居樂業,選對的人,選賢與能,清廉服務",,Ｎ,,黃瑞傳
1056,/proj-assets/election-board/uploads/images/1543038601-0ec124f57880b0410c452a7fc98b1a0b.jpg,3,POINT(25.0649455555556 121.659438888889),新北市汐止區忠孝東路2號,張錦豪,,,"正派,傳承,沈發惠交棒,會做事",,Ｙ,,張錦豪
1058,/proj-assets/election-board/uploads/images/1543041032-33157f2285e05622cc603c0a823b25da.jpg,3,POINT(25.0323154667117 121.554359827343),台北市大安區通化街1號,陳錦祥,,,"懇請支持,議會領航,實踐首都再造・引領台北蛻變",,Ｎ,,陳錦祥
1059,/proj-assets/election-board/uploads/images/1543050804-ac8cf8cc123c448c98a7f582bbd06029.jpg,2,POINT(23.8572188888889 120.583224166667),彰化縣田中鎮中州路一段349號,王惠美,,,"改造彰化,改變現在,領航未來",,Ｎ,,王惠美
1060,/proj-assets/election-board/uploads/images/1543050844-3b119785ec7868d25db2a98d1868dda8.jpg,2,POINT(23.8571590062133 120.58320547707),彰化縣田中鎮中正路225號,蕭淑芬,,蕭家銘,攜手改變,,Ｎ,,蕭淑芬
1061,/proj-assets/election-board/uploads/images/1543050945-faa3385223811199d3b2a67b2afa1187.jpg,1,POINT(23.8599311485391 120.589459742231),彰化縣田中鎮廣義路38號,魏明谷,,,0,,,y,魏明谷
1062,/proj-assets/election-board/uploads/images/1543051165-7a59f57fb464c1d5c324b4f348773341.jpg,1,POINT(23.8626632401515 120.588370844749),彰化縣田中鎮福安路227號,劉景滄,,,0,,,y,劉景滄
1063,/proj-assets/election-board/uploads/images/1543051225-bd10c22c5f618b7714bac10764796ce4.jpg,1,POINT(23.8603408858807 120.589948371256),彰化縣田中鎮福安路32巷91號,魏明谷,,,0,,,y,魏明谷
1064,/proj-assets/election-board/uploads/images/1543070922-1b9a7338898f34d4e752faab239a6eb1.jpg,3,POINT(25.0596795 121.3636641),桃園市龜山區文興路30號,林正峰,,,"建設龜山為北台灣最宜居城市,最關心教育、民生及地方建設的民代,懇請支持",教育,y,,林正峰
