選舉類型,選舉區,name,推薦之政黨,date of birth,號次
111年縣市議員選舉,嘉義縣第5選舉區,蔡信典,中國國民黨,1953,1
111年縣市議員選舉,嘉義縣第6選舉區,張明達,民主進步黨,1960,9
111年縣市議員選舉,彰化縣第2選舉區,葉國雄,民主進步黨,1966,9
111年縣市議員選舉,彰化縣第2選舉區,黃俊源,中國國民黨,1970,7
111年縣市議員選舉,彰化縣第3選舉區,蕭文雄,無,1958,2
111年縣市議員選舉,彰化縣第4選舉區,詹木根,無,1963,14
111年縣市議員選舉,彰化縣第5選舉區,陳重嘉,台灣民眾黨,1981,2
111年縣市議員選舉,彰化縣第7選舉區,劉淑芳,中國國民黨,1959,4
111年縣市議員選舉,臺東縣第1選舉區,林文隆,民主進步黨,1945,15
111年縣市議員選舉,臺東縣第1選舉區,陳志峰,中國國民黨,1965,3
111年縣市議員選舉,臺東縣第3選舉區,林東滿,中國國民黨,1949,1
111年縣市議員選舉,澎湖縣第1選舉區,蘇育德,民主進步黨,1986,13
111年縣市議員選舉,澎湖縣第1選舉區,陳海山,無,1950,2
111年縣市長選舉,桃園市,鄭運鵬,民主進步黨,1973,3
111年縣市長選舉,桃園市,賴香伶,台灣民眾黨,1968,2
111年縣市長選舉,桃園市,張善政,中國國民黨,1954,1
111年縣市長選舉,桃園市,鄭寶清,無,1955,4
111年縣市長選舉,高雄市,陳其邁,民主進步黨,1964,4
111年縣市長選舉,高雄市,柯志恩,中國國民黨,1962,3
111年縣市長選舉,新北市,林佳龍,民主進步黨,1964,1
111年縣市長選舉,新北市,侯友宜,中國國民黨,1957,2
111年縣市長選舉,臺中市,蔡其昌,民主進步黨,1969,2
111年縣市長選舉,臺中市,盧秀燕,中國國民黨,1961,3
111年縣市長選舉,臺北市,黃珊珊,無,1969,8
111年縣市長選舉,臺北市,蘇煥智,台灣維新,1956,7
111年縣市長選舉,臺北市,蔣萬安,中國國民黨,1978,6
111年縣市長選舉,臺北市,施奉先,無,1958,9
111年縣市長選舉,臺南市,許忠信,無,1965,1
111年縣市長選舉,臺南市,謝龍介,中國國民黨,1961,3
111年縣市長選舉,臺南市,林義豐,無,1948,2
111年縣市議員選舉,桃園市第10選舉區,張肇良,民主進步黨,1964,5
111年縣市議員選舉,桃園市第10選舉區,林昭賢,中國國民黨,1978,2
111年縣市議員選舉,桃園市第10選舉區,徐玉樹,中國國民黨,1964,4
111年縣市議員選舉,桃園市第10選舉區,劉熒隆,中國國民黨,1973,1
111年縣市議員選舉,桃園市第11選舉區,陳睿生,民主進步黨,1981,2
111年縣市議員選舉,桃園市第12選舉區,郭蔡美英,民主進步黨,1953,5
111年縣市議員選舉,桃園市第12選舉區,吳進昌,中國國民黨,1965,4
111年縣市議員選舉,桃園市第12選舉區,戴兆華,無,1980,6
111年縣市議員選舉,桃園市第12選舉區,許更生,無,1979,1
