時間戳記,您的學校位於哪個縣市？,您屬於下列哪個年齡層？,您使用頻率最高的手機應用程式為？,您使用頻率第二高的手機應用程式為？,您使用頻率第三高的手機應用程式為？,您使用頻率第四高的手機應用程式為？,您使用頻率第五高的手機應用程式為？
2021/1/6 下午 7:35:05,雲林縣,12 ～ 15 歲,FB,messenger,IG,youtube,×
2021/1/6 下午 8:09:32,南投縣,15 歲以上 ～ 18 歲,ig,Dcard,Fb ,網易雲音樂,影音字典
2021/1/6 下午 8:31:57,新北市,15 歲以上 ～ 18 歲,FGO,黑潮,FB,推特,IG
2021/1/6 下午 8:35:40,雲林縣,12 ～ 15 歲,youtube,FB,貓咪大戰爭,第五人格,message
2021/1/6 下午 9:02:42,臺中市,15 歲以上 ～ 18 歲,Instagram,YouTube,Facebook,Chrome,X
2021/1/6 下午 9:07:36,雲林縣,12 ～ 15 歲,message,fb,Instagram,coin master,Pagamo
2021/1/6 下午 9:36:06,高雄市,15 歲以上 ～ 18 歲,七大罪,死神,Ig,Messenger,Fb
2021/1/6 下午 10:12:42,雲林縣,12 ～ 15 歲,傳說對決,第五人格,YouTube,Messenger,Facebook
2021/1/6 下午 10:41:56,新北市,15 歲以上 ～ 18 歲,LINE,IG,激鬥峽谷,Pokemon Go,小紅書
2021/1/7 上午 12:41:37,桃園市,15 歲以上 ～ 18 歲,instagram ,YouTube ,Spotify ,X,X
2021/1/7 上午 12:53:00,新北市,15 歲以上 ～ 18 歲,Youtube,IG,Hearthstone,Lime,Webtoon
2021/1/7 上午 12:54:09,新北市,15 歲以上 ～ 18 歲,LINE,IG,激鬥峽谷,Pokemon Go,小紅書
2021/1/7 上午 7:47:56,臺北市,15 歲以上 ～ 18 歲,Instagram,Line,Facebook,Dcard,Youtube
2021/1/7 下午 12:09:55,澎湖縣,12 ～ 15 歲,google,傳說對決,YouTube,動畫瘋,Facebook
2021/1/7 下午 12:11:02,澎湖縣,12 ～ 15 歲,YouTube,Instagram,Facebook,messenger,傳說對決
2021/1/7 下午 12:12:10,澎湖縣,12 ～ 15 歲,三星網際網路,YouTube,messenger,Instagram,傳說對決
2021/1/7 下午 12:13:27,澎湖縣,12 ～ 15 歲,Instagram,YouTube,line,messenger,Google
2021/1/7 下午 12:14:16,澎湖縣,12 ～ 15 歲,messenger,YouTube,傳說對決,Google,Instagram
2021/1/7 下午 12:18:44,澎湖縣,12 ～ 15 歲,Facebook,傳說對決,抖音,messenger,YouTube
2021/1/7 下午 12:20:12,南投縣,15 歲以上 ～ 18 歲,Messenger,巴哈姆特,Google,IG,LOLm
2021/1/7 下午 12:25:33,澎湖縣,12 ～ 15 歲,messenger,Facebook,YouTube,Google,無
2021/1/7 下午 2:03:37,澎湖縣,12 ～ 15 歲,動畫瘋,YouTube,傳說對決,Google,我的世界（麥塊）
2021/1/7 下午 2:04:22,澎湖縣,12 ～ 15 歲,Facebook,Instagram,YouTube,Google,messenger
2021/1/7 下午 9:54:01,高雄市,12 ～ 15 歲,Messenger,Ig,DCARD,X,X
2021/1/7 下午 10:20:46,臺南市,15 歲以上 ～ 18 歲,皇室戰爭,Free Fire,荒野亂鬥,Youtube,部落衝突
2021/1/8 上午 8:48:54,新北市,12 ～ 15 歲,Twitter,Instagram,忍者必須死,Wild Rift,Facebook
2021/1/8 上午 8:49:51,新北市,15 歲以上 ～ 18 歲,ig,YouTube ,messenger ,Line,dcard
2021/1/8 上午 8:49:52,新北市,15 歲以上 ～ 18 歲,Ig,Youtube,抖音,英雄聯盟,Fb
2021/1/8 上午 8:50:06,新北市,15 歲以上 ～ 18 歲,傳說對決,極速領域,Youtube,Ig,Line
2021/1/8 上午 8:50:13,新北市,15 歲以上 ～ 18 歲,IG,FB,YT,Messenger,傳說對決
2021/1/8 上午 8:50:25,新北市,15 歲以上 ～ 18 歲,YouTube ,instagram,facebook ,x,x
2021/1/8 上午 8:50:30,新北市,15 歲以上 ～ 18 歲,ig,Youtube,Line,Google,抖音
2021/1/8 上午 8:52:09,新北市,15 歲以上 ～ 18 歲,皇室戰爭,動物王者,youtube,line,google
2021/1/8 上午 8:52:58,新北市,15 歲以上 ～ 18 歲,激鬥峽谷,Facebook,全民打棒球pro,Instagram,X
2021/1/8 上午 8:53:07,新北市,15 歲以上 ～ 18 歲,Yotube,Google 簡報,蝦皮,Google docs,遠東百貨
2021/1/8 上午 8:53:40,新北市,15 歲以上 ～ 18 歲,youtube,MixerBox,Line,Keep My Notes,bilibili
2021/1/8 上午 8:55:18,新北市,12 ～ 15 歲,IG,小花仙M,小紅書,youtube,快看漫畫
2021/1/8 上午 8:56:08,新北市,15 歲以上 ～ 18 歲,LINE,Instagram,Youtube,Werewolves,Messenger
2021/1/8 上午 8:57:24,新北市,15 歲以上 ～ 18 歲,1.IG,message,Pinterest ,黃油,LINE
2021/1/8 上午 8:58:15,新北市,15 歲以上 ～ 18 歲,Google,IG,YouTube,Lofter,FB
2021/1/8 上午 8:58:39,新北市,15 歲以上 ～ 18 歲,IG,messenger,YouTube,Google,LINE
2021/1/8 上午 8:59:03,新北市,15 歲以上 ～ 18 歲,傳說,Ig,Fb,Lol,台北等公車
2021/1/8 上午 8:59:12,新北市,15 歲以上 ～ 18 歲,IG,抖音短視頻,YT,MS,Dcard 
2021/1/8 上午 8:59:27,新北市,15 歲以上 ～ 18 歲,ig,Messenger ,YouTube ,X,X
2021/1/8 上午 8:59:40,新北市,15 歲以上 ～ 18 歲,Message,Youtube,Instagram,Chrome,KKBOX 
2021/1/8 上午 8:59:43,新北市,15 歲以上 ～ 18 歲,Instagram,Facebook,YouTube ,X,X
2021/1/8 上午 8:59:51,新北市,12 ～ 15 歲,ins,YouTube ,小紅書,WEBTOON ,Messenger
2021/1/8 上午 8:59:57,新北市,15 歲以上 ～ 18 歲,Instagram ,Line,抖音,Youtube,X
2021/1/8 上午 9:00:04,新北市,15 歲以上 ～ 18 歲,ig,lol,line,youtube,webtoon
2021/1/8 上午 9:00:16,新北市,15 歲以上 ～ 18 歲,IG,messenger,youtube,X,X
2021/1/8 上午 9:00:17,新北市,15 歲以上 ～ 18 歲,Fb,傳說對決,Line,Messenger,Youtube
2021/1/8 上午 9:00:21,新北市,15 歲以上 ～ 18 歲,Messenger,Instagram,YouTube,抖音,XM(music)
2021/1/8 上午 9:00:26,新北市,15 歲以上 ～ 18 歲,傳說對決,message ,Line,FB,X
2021/1/8 上午 9:00:31,新北市,15 歲以上 ～ 18 歲,instagram ,抖音短视频 ,韓劇tv,line,小紅書
2021/1/8 上午 9:01:25,新北市,15 歲以上 ～ 18 歲,Facebook,Youtube,Messenger,Google chrome,Line
2021/1/8 上午 9:59:56,新北市,15 歲以上 ～ 18 歲,激鬥峽谷,Facebook,全民打棒球pro,Instagram,X
2021/1/8 下午 4:45:31,新北市,15 歲以上 ～ 18 歲,Chrome,QQ閱讀,紅袖讀書,LINE,英漢字典
2021/1/8 下午 10:43:30,臺中市,12 ～ 15 歲,YouTube ,Massage ,fb,ig,Webtoon 
2021/1/8 下午 10:43:35,臺中市,15 歲以上 ～ 18 歲,Messenger,Youtube,Instagram,Line,Pubg
2021/1/8 下午 10:44:28,嘉義縣,22,Chrome,戀與製作人,LINE,漫畫人,Instagram 
2021/1/8 下午 10:46:41,臺中市,15 歲以上 ～ 18 歲,Google,Messenger,X,X,X
2021/1/9 上午 1:11:24,臺中市,22,Line,Instagram,Youtube,PTT,Dcard
2021/1/9 上午 2:05:06,臺中市,25,Line ,fb,ig ,Mo ptt,Dcard
2021/1/9 上午 7:55:43,臺中市,12 ～ 15 歲,FaceBook,LINE,蝦皮購物,Wechat,instagram
2021/1/9 上午 8:59:56,臺中市,15 歲以上 ～ 18 歲,Ig,Line,Netflix ,YouTube music ,YouTube 
2021/1/9 上午 10:53:22,臺中市,12 ～ 15 歲,Fb,Ig,Apple Music ,荒野亂鬥,傳說對決
2021/1/10 上午 10:56:28,新竹縣,12 ～ 15 歲,Free fire,抖音,Fb,LINE,Ig
2021/1/10 下午 7:32:16,高雄市,12 ～ 15 歲,You tube,抖音,傳說對決,IG,FB
2021/1/10 下午 8:22:02,新北市,15 歲以上 ～ 18 歲,LINE,IG,激鬥峽谷,Pokemon Go,小紅書
2021/1/12 上午 9:12:46,桃園市,12 ～ 15 歲,MESSAGER,IG,GOOGLE,X,X
2021/1/12 上午 9:12:47,桃園市,12 ～ 15 歲,第五人格,傳說對決,漫咖,黑貓小說,facebook
2021/1/12 上午 9:13:05,桃園市,12 ～ 15 歲,傳說對決,messenger,ig,fb,youtube
2021/1/12 上午 9:13:13,桃園市,12 ～ 15 歲,傳說對決,FB,YouTube,Messenger,Google
2021/1/12 上午 9:13:21,桃園市,12 ～ 15 歲,Youtube,第五人格,傳說對決,messenger,facebook
2021/1/12 上午 9:13:33,桃園市,12 ～ 15 歲,跑跑薑餅人,傳說對決,寶可夢,x,x
2021/1/12 上午 9:13:37,桃園市,12 ～ 15 歲,google,youtube,messenger,fb,line
2021/1/12 上午 9:13:47,桃園市,12 ～ 15 歲,第5人格,棒球殿堂,抖音,YOUTUBE,IG
2021/1/12 上午 9:13:50,桃園市,12 ～ 15 歲,message,youtuber,傳說對決,google,line
2021/1/12 上午 9:13:55,桃園市,12 ～ 15 歲,youtube,facebook,messanger,roblox,call of duty
2021/1/12 上午 9:13:56,桃園市,12 ～ 15 歲,youtube,google,message,傳說對決,貓咪大戰
2021/1/12 上午 9:14:05,桃園市,12 ～ 15 歲,Messenger,LINE,FB,IG,傳說對決
2021/1/12 上午 9:14:10,桃園市,12 ～ 15 歲,Youtube,Google,Facebook,Call of Duty Mobile,英雄聯盟:激鬥峽谷
2021/1/12 上午 9:14:14,桃園市,12 ～ 15 歲,絕地求生M,messenger,FB,抖音,ig
2021/1/12 上午 9:14:26,臺南市,12 ～ 15 歲,YouTube,FaseBook,Message,x,x
2021/1/12 上午 9:14:28,桃園市,12 ～ 15 歲,messenger,抖音,傳說對決,Youber,x
2021/1/12 上午 9:14:41,桃園市,12 ～ 15 歲,FB,IG,YouTube,王者榮耀,傳說對決
2021/1/12 上午 9:14:47,桃園市,12 ～ 15 歲,Fb,messenger,ig,youtube,google
2021/1/12 上午 9:14:57,桃園市,12 ～ 15 歲,youtube,FB,messenger,英雄聯盟,傳說對決
2021/1/12 上午 9:15:01,桃園市,12 ～ 15 歲,fb,fb.ig,抖音.fb.ig,ig.fb.傳說.抖音,x
2021/1/12 上午 9:15:04,桃園市,12 ～ 15 歲,傳說對決,messenger,fb,ig,x
2021/1/12 上午 9:15:05,桃園市,12 ～ 15 歲,傳說對決,抖音,Line,LOL,minecraft
2021/1/12 上午 9:15:36,桃園市,12 ～ 15 歲,youtube,七龍珠激戰傳說,傳說對決,LINE,七龍珠爆裂激戰
2021/1/12 上午 9:15:45,桃園市,12 ～ 15 歲,fb,messanger,x,x,x
2021/1/12 上午 9:15:52,桃園市,12 ～ 15 歲,第五人格,youtube,google,bilibili,google音樂
2021/1/12 上午 9:16:04,桃園市,12 ～ 15 歲,FB,messenger,IG,coin master,Google Chrome
2021/1/12 上午 9:16:06,桃園市,12 ～ 15 歲,ig,messenger,FB,漫咖,x
2021/1/12 上午 9:16:33,桃園市,12 ～ 15 歲,傳說對決,message,抖音,YouTube,灌籃高手
2021/1/12 下午 12:19:23,新北市,15 歲以上 ～ 18 歲,Instagram ,抖音短視頻,LINE,Spotify ,Minecraft 
2021/1/12 下午 12:26:33,新北市,15 歲以上 ～ 18 歲,IG,YouTube,Webtoon,奇蹟暖暖,Lofter
2021/1/12 下午 12:41:45,新北市,15 歲以上 ～ 18 歲,Instagram ,傳說對決,Line,Message,Dcard
2021/1/12 下午 12:47:40,新北市,15 歲以上 ～ 18 歲,IG,LINE,小紅書,Netflix ,微信
2021/1/12 下午 2:12:32,新北市,15 歲以上 ～ 18 歲,IG,Youtube,Messy,Line,傳說對決
2021/1/12 下午 2:26:01,新北市,15 歲以上 ～ 18 歲,ig,message ,YouTube ,相機,Google 
2021/1/12 下午 4:16:40,新北市,15 歲以上 ～ 18 歲,ig,YouTube,Messenger,激鬥峽谷,抖音（陸版）
2021/1/12 下午 5:20:37,新北市,15 歲以上 ～ 18 歲,碧藍航線,YouTube,Facebook,Google,巴哈姆特
2021/1/12 下午 5:29:19,新北市,15 歲以上 ～ 18 歲,YouTube,巴哈姆特,IG,FB,Twitch
2021/1/12 下午 5:50:41,高雄市,12 ～ 15 歲,Twitter,PUBG,Line,Messenger,蝦皮
2021/1/12 下午 6:02:14,新北市,15 歲以上 ～ 18 歲,Messenger,傳說對決,Line,X,X
2021/1/12 下午 6:34:18,新北市,15 歲以上 ～ 18 歲,Instagram,快看,WEBTOON,漫畫人,新北愛Book
2021/1/12 下午 7:33:34,新北市,15 歲以上 ～ 18 歲,Instagram,Youtube,英雄聯盟：激鬥峽谷,Netflix,元氣騎士
2021/1/12 下午 7:58:31,新北市,15 歲以上 ～ 18 歲,Messenger,FB,IG,Google,YT music
2021/1/12 下午 8:41:58,新北市,15 歲以上 ～ 18 歲,Instagram ,Safari,YouTube ,Numbers ,WEBTOON 
2021/1/12 下午 8:46:02,新北市,15 歲以上 ～ 18 歲,Instagram ,Safari,YouTube ,Dcard ,Coin master
2021/1/12 下午 8:47:11,新北市,15 歲以上 ～ 18 歲,Youtube,instagram,Facebook,BanGDream！少女樂團派對,messenger
2021/1/12 下午 10:07:23,新北市,15 歲以上 ～ 18 歲,ig,fb,YouTube ,message ,line
2021/1/12 下午 10:21:58,新竹縣,15 歲以上 ～ 18 歲,Instagram,Messenger,facebook,youtube,激鬥峽谷
2021/1/12 下午 10:55:41,新北市,15 歲以上 ～ 18 歲,IG,Line,Youtube,chrom,Twitter 
2021/1/13 下午 3:22:22,新竹市,12 ～ 15 歲,Instagram,YouTube ,Messenge,愛奇藝,美圖秀秀
2021/1/13 下午 4:06:58,桃園市,15 歲以上 ～ 18 歲,Youtube,Ig,Line,Dcard,相機
2021/1/13 下午 4:25:16,臺北市,15 歲以上 ～ 18 歲,Messenger,Ig,YouTube,Line,Google Chrome
2021/1/13 下午 4:36:07,臺北市,15 歲以上 ～ 18 歲,IG,YouTube,Chrome,Kepp記事,FB
2021/1/13 下午 4:57:16,臺北市,15 歲以上 ～ 18 歲,youtube,youtube music,street voice,ig,google
2021/1/13 下午 5:06:19,臺北市,15 歲以上 ～ 18 歲,IG,Line,FB,Google ,YouTube 
2021/1/13 下午 5:06:20,臺北市,15 歲以上 ～ 18 歲,Instagram ,Safari,Apple Music ,Spotify,YouTube 
2021/1/13 下午 5:12:45,臺北市,15 歲以上 ～ 18 歲,Kkbox,Line,Google,Line,Cnn
2021/1/13 下午 5:15:20,臺北市,15 歲以上 ～ 18 歲,Instagram,YouTube,Brawl Stars,Clash royale,Line
2021/1/13 下午 5:37:20,臺北市,15 歲以上 ～ 18 歲,Twitter,lnstragram,動畫瘋,pixiv,LINE
2021/1/13 下午 5:39:02,臺北市,15 歲以上 ～ 18 歲,swag,ig,line,youtube,shopee
2021/1/13 下午 5:46:27,桃園市,15 歲以上 ～ 18 歲,IG ,YT,FB,Netflix ,Line
2021/1/13 下午 6:23:42,臺北市,15 歲以上 ～ 18 歲,IG,Line,灌籃高手,Message ,YouTube 
2021/1/13 下午 9:42:05,新竹市,15 歲以上 ～ 18 歲,哀居,Fb,Youtobe ,米特,Line
2021/1/13 下午 9:47:19,新北市,12 ～ 15 歲,Call of duty mobile,Cookie run ,Youtube,Facebook,Pinterest
2021/1/13 下午 9:50:23,新竹市,15 歲以上 ～ 18 歲,Messenger,Facebook,Instagram,皇室戰爭,蝦皮購物
2021/1/13 下午 9:57:52,新竹市,15 歲以上 ～ 18 歲,Instagram,Facebook,YouTube,Chrome,Webtoon
2021/1/13 下午 10:00:30,新竹市,15 歲以上 ～ 18 歲,IG,YouTube ,FB Message ,StreetVoice ,Meteor Dcard 
2021/1/13 下午 10:06:48,新竹市,15 歲以上 ～ 18 歲,IG,Safari,跑跑薑餅人,FB,2048
2021/1/13 下午 10:10:18,新北市,15 歲以上 ～ 18 歲,YouTube,Discord,Instagram,Twitter,Messenger
2021/1/13 下午 10:16:11,新竹市,15 歲以上 ～ 18 歲,ig,YouTube,message,x,x
2021/1/13 下午 10:18:03,新竹市,15 歲以上 ～ 18 歲,instagram ,photo ,weibo ,camera,messenger 
2021/1/13 下午 10:20:21,新竹市,15 歲以上 ～ 18 歲,Ig,Line,Messenger ,Fb,Netflix 
2021/1/13 下午 10:28:05,新竹市,12 ～ 15 歲,IG,Youtube,FB,Google,CoinMaster
2021/1/13 下午 10:29:21,新竹市,15 歲以上 ～ 18 歲,ig,fb,相機,gmail,line
2021/1/13 下午 10:53:49,新竹市,15 歲以上 ～ 18 歲,Instagram,Line,Facebook ,Dcard ,Messenger 
2021/1/13 下午 10:55:36,新竹市,15 歲以上 ～ 18 歲,Twitter,Safari,Facebook,Fate/GO,pixiv
2021/1/13 下午 10:58:52,臺中市,15 歲以上 ～ 18 歲,Instagram,YouTube,Facebook,Messager,Pixiv
2021/1/13 下午 11:04:08,新竹市,15 歲以上 ～ 18 歲,ig,fb,youtube,相簿,瀏覽器
2021/1/13 下午 11:13:36,新竹市,12 ～ 15 歲,FB,MSN,IG,DC,LINE
2021/1/13 下午 11:21:42,新竹縣,12 ～ 15 歲,Discord,IG,Zenly,FB,Dcard
2021/1/13 下午 11:43:16,新竹市,15 歲以上 ～ 18 歲,Instagram ,YouTube ,Chrome ,Meteor,Spotify
2021/1/13 下午 11:57:25,新竹市,15 歲以上 ～ 18 歲,Ig,Line,Fb,Twitter,Dcard
2021/1/14 上午 8:03:08,新竹市,15 歲以上 ～ 18 歲,Facebook,Ig,Bilibili,Youtube,Lysn
2021/1/14 上午 8:47:36,新竹市,15 歲以上 ～ 18 歲,Bilibili,Safari,Messenger,Facebook,Instagram
2021/1/14 上午 9:39:58,新竹市,15 歲以上 ～ 18 歲,Fb,Instagram,Line,影音字典,Messenger
2021/1/14 上午 9:57:26,桃園市,12 ～ 15 歲,荒野亂鬥,youtube,line rangers,X,X
2021/1/14 上午 9:58:07,桃園市,12 ～ 15 歲,youtube,discord,愛奇異,巴哈姆特動漫瘋,X
2021/1/14 上午 9:58:16,桃園市,12 ～ 15 歲,youtube,傳說對決,一拳超人,instagram,facebook
2021/1/14 上午 9:58:22,桃園市,12 ～ 15 歲,google,facebook,instagram,youtube,line
2021/1/14 上午 9:58:29,桃園市,12 ～ 15 歲,FB,IG,YT,抖音,line
2021/1/14 上午 9:58:37,桃園市,12 ～ 15 歲,傳說對決,FaceBook,神魔之塔,Instagram,YouTube
2021/1/14 上午 9:59:01,桃園市,12 ～ 15 歲,ig,抖音,youtube,fb,賴
2021/1/14 上午 9:59:22,桃園市,12 ～ 15 歲,messenger,youtube,fb,愛奇藝,ig
2021/1/14 上午 9:59:23,桃園市,12 ～ 15 歲,facebook,youtube,ig,無他,美圖美圖秀秀
2021/1/14 上午 9:59:53,桃園市,12 ～ 15 歲,messenger,Instagram,fb,抖音,TheDayBefore
2021/1/14 上午 9:59:56,桃園市,12 ～ 15 歲,youtube,google,荒野亂鬥,忍者必須死,X
2021/1/14 上午 9:59:58,桃園市,12 ～ 15 歲,messenger,instagram,小紅書,facebook,傳說對決
2021/1/14 上午 10:00:08,桃園市,12 ～ 15 歲,youtube,第五人格,千尋影視,Tik Tok,messenger
2021/1/14 上午 10:00:11,桃園市,12 ～ 15 歲,youtube,instagram,facebook,計算機,時鐘
2021/1/14 上午 10:00:16,桃園市,12 ～ 15 歲,messenger,極速領域,Instagram,戀與製作人,The Days Before
2021/1/14 上午 10:00:24,桃園市,12 ～ 15 歲,遊戲,youtuber,Facebook,Line,沒了
2021/1/14 上午 10:00:38,桃園市,12 ～ 15 歲,IG,X,X,X,X
2021/1/14 上午 10:07:10,桃園市,12 ～ 15 歲,free fire,激鬥峽谷,部落衝突,Random Dice,Facebook
2021/1/14 上午 10:07:31,桃園市,12 ～ 15 歲,ig,youtobe,fb,x,x
2021/1/14 上午 10:07:34,南投縣,15 歲以上 ～ 18 歲,pornhub,xvideo,javhub,x,x
2021/1/14 上午 10:07:39,桃園市,12 ～ 15 歲,ig,messenger,fb,snow,podcast
2021/1/14 上午 10:10:24,新北市,12 ～ 15 歲,4,7,8,9,5
2021/1/14 下午 12:15:36,新竹市,15 歲以上 ～ 18 歲,IG,Messenger,小紅書,Line,FB
2021/1/14 下午 1:09:33,新竹市,15 歲以上 ～ 18 歲,Instagram ,Messenger,Line,KKbox,Youtube
2021/1/14 下午 1:16:02,新竹市,15 歲以上 ～ 18 歲,Safari,Ig,Messenger ,Spotify,Fb
2021/1/14 下午 1:50:46,桃園市,12 ～ 15 歲,沒有手機 無,無,無,無,無
2021/1/14 下午 1:51:01,桃園市,12 ～ 15 歲,都有,都有,都有,都有,都有
2021/1/14 下午 1:51:12,桃園市,12 ～ 15 歲,Discord,Podcast,潮汐,messenger,Line
2021/1/14 下午 1:51:15,桃園市,12 ～ 15 歲,?,?,?,?,?
2021/1/14 下午 1:51:27,桃園市,12 ～ 15 歲,IG,youtube,messenger,FB,X
2021/1/14 下午 1:52:01,桃園市,12 ～ 15 歲,play商店,email,雲端,設定,計時器
2021/1/14 下午 1:52:09,桃園市,12 ～ 15 歲,youtube  ,IG,FB,tik tok,Vapp
2021/1/14 下午 1:52:11,桃園市,12 ～ 15 歲,IG,messenger,youtube,tiktok,美圖秀秀
2021/1/14 下午 1:52:21,桃園市,12 ～ 15 歲,IG,messenger,Tik Tok,FB,Line
2021/1/14 下午 1:52:24,桃園市,12 ～ 15 歲,Discord,YouTube,Google,x,x
2021/1/14 下午 1:52:31,桃園市,12 ～ 15 歲,youtube,FB,IG,Vapp,x
2021/1/14 下午 1:52:46,桃園市,12 ～ 15 歲,youtube,ig,fb,messenger,傳說對決
2021/1/14 下午 1:53:05,桃園市,12 ～ 15 歲,荒野亂鬥,臉書,yt,x,x
2021/1/14 下午 1:53:06,桃園市,12 ～ 15 歲,messenger,ig,youtube,google,快看漫畫
2021/1/14 下午 1:53:09,桃園市,12 ～ 15 歲,google,youtube,facebook,x,x
2021/1/14 下午 1:53:13,桃園市,12 ～ 15 歲,IG,MESSANGER,FB,沒有,沒有
2021/1/14 下午 1:53:16,桃園市,12 ～ 15 歲,YOUTUBE,FB,MESSENGER,電話,無
2021/1/14 下午 1:53:39,桃園市,12 ～ 15 歲,google,messenger,youtobur,鬧鐘,漫畫
2021/1/14 下午 1:54:24,桃園市,12 ～ 15 歲,IG,抖音短視頻,Tik Tok,相機,推特
2021/1/14 下午 2:46:38,桃園市,12 ～ 15 歲,傳說對決,ig,fb,twitter,極速領域
2021/1/14 下午 2:47:22,桃園市,12 ～ 15 歲,23,100,101,102,103
2021/1/14 下午 2:48:15,桃園市,12 ～ 15 歲,無,無,無,無,無 
2021/1/14 下午 6:34:31,新竹市,15 歲以上 ～ 18 歲,Messenger ,Safari ,Instagram ,Facebook ,Line
2021/1/14 下午 7:55:28,桃園市,12 ～ 15 歲,google,google play,google mail,google map,雲端硬碟
2021/1/14 下午 8:06:07,桃園市,12 ～ 15 歲,推特,facebook,messenger,youtube,Dynamix
2021/1/14 下午 9:51:00,新竹市,15 歲以上 ～ 18 歲,IG,Youtube,Messenger ,FB,Line
2021/1/14 下午 10:32:01,新竹市,15 歲以上 ～ 18 歲,YouTube,Spotify,Instagram,Facebook,傳說對決
2021/1/14 下午 10:51:57,臺北市,15 歲以上 ～ 18 歲,google,Youtube,荒野亂鬥,傳說對決,Coin master
2021/1/15 上午 1:04:32,臺中市,20,Line,YouTube,FB,Dcard,IG
2021/1/15 上午 9:05:25,臺中市,15 歲以上 ～ 18 歲,Instagram,Facebook,Dcard,小紅書,Messenger
2021/1/15 上午 9:12:41,臺中市,15 歲以上 ～ 18 歲,swag,pornhub,youtube,instagram,Facebook 
2021/1/15 上午 9:13:10,南投縣,15 歲以上 ～ 18 歲,ig,跑跑卡丁車,messager,Line,tiktok
2021/1/15 上午 9:21:40,南投縣,15 歲以上 ～ 18 歲,IG,小紅書,YouTube ,蝦皮,LINE
2021/1/15 上午 9:30:35,南投縣,15 歲以上 ～ 18 歲,IG,微信,賴,message ,FB
2021/1/15 上午 9:35:49,臺中市,15 歲以上 ～ 18 歲,Instagram ,Messenger ,Facebook,Twitter ,X
2021/1/15 上午 9:37:28,臺中市,15 歲以上 ～ 18 歲,ig,yt,傳說,spotify ,line
2021/1/15 上午 10:14:04,臺中市,12 ～ 15 歲,youtube,抖音,facebook,line,instagram
2021/1/15 上午 10:18:49,臺中市,15 歲以上 ～ 18 歲,IG,FB,Free Fire,YOUTUBE,第五人格
2021/1/15 上午 10:25:52,臺中市,12 ～ 15 歲,抖音,臉書,Capcut,IG,Youtube
2021/1/15 上午 10:53:20,臺中市,15 歲以上 ～ 18 歲,IG,賴,ㄩ兔,Netflix,Messenger
2021/1/15 上午 11:00:33,臺中市,15 歲以上 ～ 18 歲,Ig,Fb,Line,Messenger,Dcard
2021/1/15 上午 11:02:16,南投縣,15 歲以上 ～ 18 歲,Instagram,Line,FB,messenger,發票載具
2021/1/15 上午 11:06:48,新北市,15 歲以上 ～ 18 歲,Spotify,ig,PUBG,Line,FB
2021/1/15 上午 11:07:54,臺北市,15 歲以上 ～ 18 歲,試算表,計算機,IG,FB,LINE
2021/1/15 上午 11:15:01,臺中市,12 ～ 15 歲,youtube,messenger,FB,Minecraft,第五人格
2021/1/15 上午 11:16:07,臺中市,12 ～ 15 歲,messenger,FB,傳說對決,line,instagram
2021/1/15 上午 11:17:43,臺中市,12 ～ 15 歲,ig,fb,messenger,line,剪映
2021/1/15 上午 11:17:48,新北市,15 歲以上 ～ 18 歲,Youtube,LINE,Ig,Webtoon,Spotify 
2021/1/15 上午 11:21:25,新北市,15 歲以上 ～ 18 歲, Instagram,Pinterest,Line,Songsterr,Chrome
2021/1/15 上午 11:23:37,新北市,15 歲以上 ～ 18 歲,Instagram ,LINE,YouTube ,MB3,Facebook 
2021/1/15 上午 11:41:02,臺北市,15 歲以上 ～ 18 歲,Instagram ,Youtube,Google,Line,無
2021/1/15 上午 11:56:15,臺北市,21,FB,LINE,Twitter,募戀英雄,Chrome
2021/1/15 下午 12:01:37,臺中市,12 ～ 15 歲,IG,抖音,美圖秀秀,Webtoon,微信
2021/1/15 下午 12:01:56,新北市,15 歲以上 ～ 18 歲,Fb,Messenger,Line,動畫瘋,台北等公車
2021/1/15 下午 12:02:02,新北市,12 ～ 15 歲,Lol,Facebook ,YouTube ,Line,傳說對決
2021/1/15 下午 12:03:14,臺中市,12 ～ 15 歲,傳說對決,Among us,Youtube,IG,Line
2021/1/15 下午 12:12:30,臺中市,15 歲以上 ～ 18 歲,Ig,Messager ,Line,抖音,YouTube 
2021/1/15 下午 12:14:01,南投縣,15 歲以上 ～ 18 歲,Ig,Messenger,Fb,Dcard,Candy
2021/1/15 下午 1:17:34,新竹市,15 歲以上 ～ 18 歲,傳說對決,Messenger,IG,FB,Youtube
2021/1/15 下午 4:37:24,臺中市,12 ～ 15 歲,youtube,messenger,小米app,忍者必須死,抖音
2021/1/15 下午 5:52:45,臺中市,15 歲以上 ～ 18 歲,YT,IG,LINE,FB,微博
2021/1/15 下午 5:56:46,新竹縣,15 歲以上 ～ 18 歲,YouTube ,b站,Ig,x,x
2021/1/15 下午 6:43:02,屏東縣,12 ～ 15 歲,YouTube ,動畫瘋,漫畫人,傳說對決,愛筆思畫
2021/1/15 下午 9:03:13,臺北市,15 歲以上 ～ 18 歲,Instagram ,YouTube ,Facebook,Mixerbox,LINE 
2021/1/15 下午 9:55:55,新北市,12 ～ 15 歲,Ig,小紅書,Line,YouTube ,Safari
2021/1/15 下午 11:47:45,臺中市,15 歲以上 ～ 18 歲,ig,臉書,YouTube ,微信,Line 
