時間戳記,您的學校位於哪個縣市？,您屬於下列哪個年齡層？,您使用頻率最高的手機應用程式為？,您使用頻率第二高的手機應用程式為？,您使用頻率第三高的手機應用程式為？,您使用頻率第四高的手機應用程式為？,您使用頻率第五高的手機應用程式為？
2020/12/30 下午 8:36:25,新竹市,15 歲以上 ～ 18 歲,instagram,youtube,messenger,google,蝦皮
2020/12/30 下午 8:37:20,新竹市,15 歲以上 ～ 18 歲,抖音,IG,YouTube,Fb,戀語製作人
2020/12/30 下午 8:42:38,臺南市,15 歲以上 ～ 18 歲,Safari,Instagram,Facebook,Line,蝦皮購物
2020/12/30 下午 8:44:15,高雄市,15 歲以上 ～ 18 歲,ig,YouTube ,MixerBox,知音漫客, line
2020/12/30 下午 8:45:26,嘉義縣,15 歲以上 ～ 18 歲,Messenger,Facebook,Line,Instagram,Youtube
2020/12/30 下午 8:46:43,臺南市,15 歲以上 ～ 18 歲,IG,Google,Line,熊大農場,Message 
2020/12/30 下午 8:48:26,高雄市,15 歲以上 ～ 18 歲,Instagram ,Messager,Line ,Dcard ,Line 
2020/12/30 下午 8:50:19,高雄市,12 ～ 15 歲,ig ,yt,抖音,Fb,Line
2020/12/30 下午 8:51:50,新竹市,15 歲以上 ～ 18 歲,Instagram ,Apple Music ,Youtube,SoundCloud ,小紅書
2020/12/30 下午 8:55:54,高雄市,15 歲以上 ～ 18 歲,YouTube,Message,IG,微博,蝦皮
2020/12/30 下午 9:09:54,高雄市,15 歲以上 ～ 18 歲,Youtube,Messenger,Ig,Line,激鬥峽谷
2020/12/30 下午 9:13:09,臺南市,15 歲以上 ～ 18 歲,Messenger,Spotify,IG,FB,LINE
2020/12/30 下午 9:17:08,新竹市,15 歲以上 ～ 18 歲,Messenger ,IG,FB,Line ,Dcard
2020/12/30 下午 9:24:30,嘉義縣,15 歲以上 ～ 18 歲,Instagram,Youtube,抖音,Facebook,傳說對決
2020/12/30 下午 9:25:09,新竹市,15 歲以上 ～ 18 歲,Ins,YouTube ,TikTok ,Facebook ,Shopee 
2020/12/30 下午 9:28:15,新竹市,12 ～ 15 歲,ig,messenger,youtube,電話,相機
2020/12/30 下午 9:38:47,臺南市,15 歲以上 ～ 18 歲,Messenger,Instagram ,Youtube,Google,Dcard
2020/12/30 下午 9:45:27,高雄市,15 歲以上 ～ 18 歲,ig,line ,fb,yt,twitter 
2020/12/30 下午 9:47:17,新竹市,15 歲以上 ～ 18 歲,Instagram,Youtube,Tiktok,Weibo,Line
2020/12/30 下午 9:47:19,臺中市,12 ～ 15 歲,Instagram,YouTube,Line,X,X
2020/12/30 下午 9:49:22,臺南市,15 歲以上 ～ 18 歲,IG,LINE,YT,Google,抖音
2020/12/30 下午 9:49:34,臺南市,15 歲以上 ～ 18 歲,Bravolol,Messenger ,Facebook ,StreetVoice ,Ig
2020/12/30 下午 9:49:51,高雄市,15 歲以上 ～ 18 歲,網際網路(看小說,愛奇藝,YouTube ,Instagram ,LINE 
2020/12/30 下午 9:51:26,臺中市,12 ～ 15 歲,IG,FB,LINE,抖音,YT
2020/12/30 下午 9:53:53,臺中市,12 ～ 15 歲,ig,賴,抖音,YT,FB
2020/12/30 下午 9:55:55,臺南市,15 歲以上 ～ 18 歲,Youtube,Instagram,小紅書,蝦皮,Google
2020/12/30 下午 9:59:31,高雄市,15 歲以上 ～ 18 歲,YouTube ,Goole,Ig,Fb,Line
2020/12/30 下午 10:02:58,臺南市,15 歲以上 ～ 18 歲,Ig,Messenger,Line,傳說,絕地求生
2020/12/30 下午 10:03:16,臺中市,15 歲以上 ～ 18 歲,instagram,line,抖音,zenly,YouTube 
2020/12/30 下午 10:03:48,臺南市,15 歲以上 ～ 18 歲,Instagram ,messenger ,facebook,LINE,lightroom 
2020/12/30 下午 10:05:42,臺南市,15 歲以上 ～ 18 歲,IG,webtoon,messenger,google,相簿
2020/12/30 下午 10:16:09,臺中市,12 ～ 15 歲,instagram,line,youtube,faccbook,cheers
2020/12/30 下午 10:19:34,臺南市,15 歲以上 ～ 18 歲,Facebook,微博,SKY光遇,Messenger,LINE
2020/12/30 下午 10:31:31,高雄市,15 歲以上 ～ 18 歲,Line,Ig,Dcard,MB3,雲端硬碟
2020/12/30 下午 10:41:13,臺南市,15 歲以上 ～ 18 歲,IG ,YouTube ,FB,傳說對決😻,LINE
2020/12/30 下午 10:41:37,臺南市,15 歲以上 ～ 18 歲,Instagram ,Facebook ,YouTube,Coin Master,X
2020/12/30 下午 10:43:15,臺南市,15 歲以上 ～ 18 歲,IG,Message,Google,2k,Snap chat
2020/12/30 下午 10:54:15,臺南市,15 歲以上 ～ 18 歲,youtube,messenger,facebook,instagram,LINE
2020/12/30 下午 11:03:38,臺南市,15 歲以上 ～ 18 歲,messenger ,Facebook ,Line,IG,Youtube
2020/12/30 下午 11:05:56,臺南市,15 歲以上 ～ 18 歲,IG,Dcard,YouTube ,Messenger ,Fb
2020/12/30 下午 11:10:14,高雄市,15 歲以上 ～ 18 歲,Instagram ,Line,Messager,Youtube,Fimo
2020/12/30 下午 11:50:40,高雄市,15 歲以上 ～ 18 歲,Ig,Line,Dcard,X,X
2020/12/30 下午 11:51:21,臺北市,15 歲以上 ～ 18 歲,Line,Chrome,Google drive,IG,Google sheet
2020/12/31 上午 12:46:27,臺南市,15 歲以上 ～ 18 歲,Face book,Instagram ,決戰！平安京,Bilibili ,Twitter 
2020/12/31 上午 2:35:38,高雄市,15 歲以上 ～ 18 歲,傳說對決,mg,line ,ig,fb
2020/12/31 上午 6:10:15,臺南市,15 歲以上 ～ 18 歲,哀居,Toutube,LINE,Discord,X
2020/12/31 上午 6:36:18,臺南市,15 歲以上 ～ 18 歲,fb,messenger,google,yt,ig
2020/12/31 上午 6:54:08,臺南市,15 歲以上 ～ 18 歲,抖音,IG,FB,Youtube,Line
2020/12/31 上午 7:03:38,桃園市,15 歲以上 ～ 18 歲,IG,YT,LINE ,Google,TunerRadioPlus
2020/12/31 上午 7:43:26,高雄市,15 歲以上 ～ 18 歲,YouTube ,line ,ig,ig,igfb
2020/12/31 上午 7:46:51,新北市,15 歲以上 ～ 18 歲,Ig,Line,Youtube,蝦皮,Fb
2020/12/31 上午 7:47:32,新北市,15 歲以上 ～ 18 歲,Ig,Line,Dcard,英雄聯盟,探探
2020/12/31 上午 7:47:42,新北市,15 歲以上 ～ 18 歲,Ig,Line,探探,Omi,Tinder
2020/12/31 上午 7:47:51,新北市,15 歲以上 ～ 18 歲,抖音短視頻,Line,weibo,Instagram,YouTube
2020/12/31 上午 7:47:56,新北市,15 歲以上 ～ 18 歲,Ig,傳說對決,Youtube ,Message ,小紅書
2020/12/31 上午 7:47:56,新北市,15 歲以上 ～ 18 歲,Youtube,Fgo,Ig,Fb,Twitter
2020/12/31 上午 7:47:57,新北市,15 歲以上 ～ 18 歲,FB,IG,Google,激鬥峽谷,Line
2020/12/31 上午 7:48:11,新北市,15 歲以上 ～ 18 歲,激鬥,Ig,Youtube,Line,網路
2020/12/31 上午 7:48:34,新北市,15 歲以上 ～ 18 歲,LINE,IG,激鬥峽谷,Pokemon Go,小紅書
2020/12/31 上午 7:48:40,新北市,15 歲以上 ～ 18 歲,Youtube,Line,Ig,抖音,蝦皮
2020/12/31 上午 7:48:43,新北市,15 歲以上 ～ 18 歲,youtube,facebook,Line,instagram,無
2020/12/31 上午 7:48:54,新北市,15 歲以上 ～ 18 歲,YouTube ,Instagram ,Spotify ,Google,TikTok 
2020/12/31 上午 7:49:04,新北市,15 歲以上 ～ 18 歲,抖音,激鬥峽谷,傳說對決,IG,Youtube
2020/12/31 上午 7:50:21,新北市,15 歲以上 ～ 18 歲,ig,YouTube ,line,spotify ,微博
2020/12/31 上午 7:50:22,臺北市,15 歲以上 ～ 18 歲,ig,youtube,line,kkbox,netflix
2020/12/31 上午 7:50:28,新北市,15 歲以上 ～ 18 歲,FGO,黑潮,FB,推特,IG
2020/12/31 上午 7:50:31,新北市,15 歲以上 ～ 18 歲,IG,Line,抖音,小紅書,蝦皮
2020/12/31 上午 7:51:42,臺北市,15 歲以上 ～ 18 歲,IG,Youtube,LINE,Twitter ,Bilibili
2020/12/31 上午 8:17:10,新北市,15 歲以上 ～ 18 歲,instagram,line,google,youtube,webtoon
2020/12/31 上午 8:17:34,新北市,15 歲以上 ～ 18 歲,Yt,Ig,Netflix,Dcard,Line
2020/12/31 上午 8:17:39,新北市,15 歲以上 ～ 18 歲,Instagram,Youtube,Bilibili ,Line,Weverse
2020/12/31 上午 8:17:42,新北市,15 歲以上 ～ 18 歲,Line,Youtube,Instagram,Message,Line bubble
2020/12/31 上午 8:17:42,新北市,15 歲以上 ～ 18 歲,YouTube ,Instagram ,WEBTOON ,小紅書,記帳程式
2020/12/31 上午 8:17:43,新北市,15 歲以上 ～ 18 歲,YouTube ,Bilibili,Instagram,Facebook,Twitter
2020/12/31 上午 8:17:48,新北市,15 歲以上 ～ 18 歲,Safari,Spotify,ig,line,Messenger 
2020/12/31 上午 8:18:10,新北市,15 歲以上 ～ 18 歲,Ig,Line,抖音,蝦皮,音樂
2020/12/31 上午 8:18:25,新北市,15 歲以上 ～ 18 歲,抖音,Ig,Youtube,Line,Google
2020/12/31 上午 8:18:52,新北市,15 歲以上 ～ 18 歲,Line,Instagram ,巴哈姆特 動畫瘋,YouTube ,Word up
2020/12/31 上午 8:18:56,新北市,15 歲以上 ～ 18 歲,LOL wildrift,Twitch,Facebook,Instagram,Google play
2020/12/31 上午 8:18:57,新北市,15 歲以上 ～ 18 歲,youtube,fb,ig,line,google
2020/12/31 上午 8:19:12,新北市,15 歲以上 ～ 18 歲,Youtube,Mixerbox,Webtoon,Dcard,Ig
2020/12/31 上午 8:20:23,新北市,15 歲以上 ～ 18 歲,Instergram ,Line,Clash of royal,Call of duty mobile,Messenger
2020/12/31 上午 8:20:24,新北市,15 歲以上 ～ 18 歲,IG,YOUTUBE,快看漫畫,英漢字典,MESSAGE
2020/12/31 上午 8:20:36,新北市,15 歲以上 ～ 18 歲,漫畫人,IG,Samsung music ,Pinterest ,極簡字典
2020/12/31 上午 8:20:52,新北市,15 歲以上 ～ 18 歲,YouTube,Google,Play商店,巴哈姆特動畫瘋,Word
2020/12/31 上午 9:14:49,苗栗縣,21,line,fb,g-mail,雲端,ig
2020/12/31 上午 9:38:41,新北市,19,Ig ,Line ,Dcard,Youtube ,Kkbox 
2020/12/31 上午 10:11:30,雲林縣,22 大學生,facebook,ig,line,mixerbox,dcard
2020/12/31 上午 10:31:30,苗栗縣,22,IG,LINE,FB,YouTube,Dcard
2020/12/31 上午 11:50:01,臺南市,15 歲以上 ～ 18 歲,Instagram ,YouTube ,Line,Messenger,Facebook 
2020/12/31 下午 12:02:28,新北市,15 歲以上 ～ 18 歲,YouTube ,Instagram ,WEBTOON ,小紅書,記帳程式
2020/12/31 下午 12:52:38,桃園市,15 歲以上 ～ 18 歲,臉書,LINE,抖音,APP STORE,IG
2020/12/31 下午 12:53:17,桃園市,15 歲以上 ～ 18 歲,FB,Ig,Messager ,youtube,Line
2020/12/31 下午 12:54:48,桃園市,15 歲以上 ～ 18 歲,Messenger,Line,Youtube,Twitch,KKBOX
2020/12/31 下午 12:58:53,桃園市,15 歲以上 ～ 18 歲,youtube,instagram,line,google,時鐘
2020/12/31 下午 1:21:56,桃園市,15 歲以上 ～ 18 歲,起點閱讀,刺蝟貓小說,Bilibili,Arknights ,YouTube 
2020/12/31 下午 1:23:30,桃園市,15 歲以上 ～ 18 歲,Line,Instagram ,Messager,Spotify,Netflix 
2020/12/31 下午 2:36:04,臺北市,15 歲以上 ～ 18 歲,Ig,Line,Youtobe,E mail,無
2020/12/31 下午 2:52:11,臺北市,15 歲以上 ～ 18 歲,Instagram,Facebook,Pinterest,YouTube ,Line
2020/12/31 下午 3:24:18,金門縣,15 歲以上 ～ 18 歲,不知道,不知道,不知道,不知道,不知道
2020/12/31 下午 3:24:50,金門縣,15 歲以上 ～ 18 歲,IG,Line,FB,荒野行動,FB
2020/12/31 下午 3:24:55,桃園市,15 歲以上 ～ 18 歲,Ig,Line,Dcard,Facebook,Foodpanda
2020/12/31 下午 3:25:29,金門縣,15 歲以上 ～ 18 歲,KKBOX,Facebook,Dcard,IG,Youtube
2020/12/31 下午 3:25:31,金門縣,15 歲以上 ～ 18 歲,手機遊戲,IG,Fb,抖音,A片
2020/12/31 下午 3:25:44,金門縣,15 歲以上 ～ 18 歲,IG,Youtube,FB,Line,Gmail
2020/12/31 下午 3:26:08,金門縣,15 歲以上 ～ 18 歲,FB.,荒野行動,Youtube,蝦皮購物網,TikTok
2020/12/31 下午 3:26:10,金門縣,15 歲以上 ～ 18 歲,抖音,Ig,Fb,Youtube,A片
2020/12/31 下午 3:26:31,金門縣,15 歲以上 ～ 18 歲,LINE,YouTube ,BBC,Pages ,ig
2020/12/31 下午 3:26:50,雲林縣,15 歲以上 ～ 18 歲,Ig,Messanger,Line,Fb,YouTube
2020/12/31 下午 3:26:51,金門縣,15 歲以上 ～ 18 歲,守望傳說,激鬥峽谷,Youtube,FB,XVIDEO
2020/12/31 下午 3:26:53,金門縣,15 歲以上 ～ 18 歲,youtube,fb,ig,google,xnxx
2020/12/31 下午 3:26:57,金門縣,15 歲以上 ～ 18 歲,Ig,LINE,Facebook ,蝦皮,荒野行動
2020/12/31 下午 3:27:02,金門縣,15 歲以上 ～ 18 歲,Ig,Fb,Youtube,Line,蝦皮
2020/12/31 下午 3:27:21,金門縣,15 歲以上 ～ 18 歲,GOOGLE,YOUTUBE ,TikTok,抖音,Instagram
2020/12/31 下午 3:27:34,金門縣,15 歲以上 ～ 18 歲,IG,YT,遊戲,FB,抖音
2020/12/31 下午 3:27:44,金門縣,15 歲以上 ～ 18 歲,Google,Line,YouTube,fb,play商店
2020/12/31 下午 3:28:11,金門縣,15 歲以上 ～ 18 歲,instagram,youtube,部落衝突,google,facebook
2020/12/31 下午 3:28:13,金門縣,15 歲以上 ～ 18 歲,傳說對決,荒野行動,Pokémon Go,Youtube,IG
2020/12/31 下午 3:28:16,金門縣,15 歲以上 ～ 18 歲,YOUTUBE ,IG,Message ,Line,蝦皮購物
2020/12/31 下午 3:28:18,金門縣,15 歲以上 ～ 18 歲,傳說對決,荒野行動,Pokemon GO,youtube,ig
2020/12/31 下午 3:28:26,金門縣,15 歲以上 ～ 18 歲,傳說對決,荒野行動,Pokemon GO,youtube,ig
2020/12/31 下午 3:28:31,金門縣,15 歲以上 ～ 18 歲,FB,プロセカ,Cytus2,Arcaea,Youtube
2020/12/31 下午 3:28:31,金門縣,15 歲以上 ～ 18 歲,IG,Messenger ,YouTube ,Google ,遊戲程式
2020/12/31 下午 3:28:43,金門縣,15 歲以上 ～ 18 歲,YouTube,激鬥俠谷,Facebook,Instagarm,Random Dice
