"prv_code","city_code","area_code","li_code","dept_code","agree_ticket","agree_ticket_percent","disagree_ticket","disagree_ticket_percent","agree_to_votable","vote_result"
"10","005","00","0002","170",145,71.43,58,28.57,27.31,"N"
"10","005","00","0003","170",224,70.44,94,29.56,25.78,"N"
"10","005","00","0004","170",134,67.34,65,32.66,24.86,"N"
"10","005","00","0005","170",150,75,50,25,27.37,"N"
"10","005","00","0006","170",88,71.54,35,28.46,27.24,"N"
"10","005","00","0007","170",203,73.02,75,26.98,31.23,"N"
"10","005","00","0000","180",1250,82.51,265,17.49,25.03,"N"
"10","005","00","0001","180",64,76.19,20,23.81,19.05,"N"
"10","005","00","0002","180",256,81.79,57,18.21,23.93,"N"
"10","005","00","0003","180",228,78.89,61,21.11,26.18,"N"
"10","005","00","0004","180",161,84.74,29,15.26,33.54,"N"
"10","005","00","0005","180",109,83.85,21,16.15,21.76,"N"
"10","005","00","0006","180",107,80.45,26,19.55,22.25,"N"
"10","005","00","0007","180",147,82.12,32,17.88,22.07,"N"
"10","005","00","0008","180",178,90.36,19,9.64,30.17,"N"
"10","007","00","0000","000",184623,47.3,205667,52.7,17.39,"N"
"10","007","00","0000","010",38916,48.83,40782,51.17,20.49,"N"
"10","007","00","0001","010",255,48.11,275,51.89,20.35,"N"
"10","007","00","0002","010",1064,50.14,1058,49.86,21.4,"N"
"10","007","00","0003","010",306,45.13,372,54.87,19.09,"N"
"10","007","00","0004","010",177,47.07,199,52.93,23.29,"N"
"10","007","00","0005","010",295,51.39,279,48.61,22.16,"N"
"10","007","00","0006","010",346,46.44,399,53.56,20.08,"N"
"10","007","00","0007","010",808,46.98,912,53.02,21.07,"N"
"10","007","00","0008","010",1044,46.05,1223,53.95,20.03,"N"
"10","007","00","0009","010",381,49.93,382,50.07,22.18,"N"
"10","007","00","0010","010",390,46.93,441,53.07,20.58,"N"
"10","007","00","0011","010",197,57.1,148,42.9,25.85,"N"
"10","007","00","0012","010",330,51.48,311,48.52,23.97,"N"
"10","007","00","0013","010",162,40.91,234,59.09,18.79,"N"
"10","007","00","0014","010",91,34.73,171,65.27,14.17,"N"
"10","007","00","0015","010",158,43.77,203,56.23,22.38,"N"
"10","007","00","0016","010",133,34.73,250,65.27,15.39,"N"
"10","007","00","0017","010",153,40.91,221,59.09,20.45,"N"
"10","007","00","0018","010",143,36.95,244,63.05,16.57,"N"
"10","007","00","0019","010",215,46.24,250,53.76,20.15,"N"
"10","007","00","0020","010",703,47.82,767,52.18,21.28,"N"
"10","007","00","0021","010",812,52.22,743,47.78,22.65,"N"
"10","007","00","0022","010",257,48.67,271,51.33,22.76,"N"
"10","007","00","0023","010",675,50.83,653,49.17,21.37,"N"
"10","007","00","0024","010",767,50.3,758,49.7,18.37,"N"
"10","007","00","0025","010",184,40.17,274,59.83,19.78,"N"
"10","007","00","0026","010",634,45.61,756,54.39,18.09,"N"
"10","007","00","0027","010",440,49.77,444,50.23,20.59,"N"
