userid,user_reported_location,follower_count,following_count,account_language,tweet_count,mention,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,tweet_ratio,mention_ratio,length_avg,corpus
aaac43d4bd7641825d0d2a17897ec77115ce0b61aa368ef5559f1a690d87ea28,0,372,370,0,2959,2252,0.0209530246704968,0.0212909766813113,0.0148698884758364,0.0202771206488679,0.0175735045623521,0.0270361608651571,0.0344711051030754,0.0398783372761068,0.0540723217303143,0.0554241297735722,0.0561000337952011,0.0625211220006759,0.0503548496113552,0.0628590740114904,0.0723217303142954,0.0993578911794525,0.0608313619466036,0.0479891855356539,0.0398783372761068,0.0314295370057452,0.0280500168976005,0.0310915849949307,0.0253464008110848,0.0260223048327138,1,1.76106792835417,164.368367691788,0
132601331,0,22385,1572,0,1527,180,0.26981008513425,0.193189259986902,0.100196463654224,0.031434184675835,0.0130975769482646,0.00720366732154551,0.0111329404060249,0.0163719711853307,0.0130975769482646,0.000654878847413229,0.000654878847413229,0.000654878847413229,0.0307793058284217,0.0451866404715128,0.0189914865749836,0.014407334643091,0.0307793058284217,0.0242305173542895,0.0288146692861821,0.037328094302554,0.0301244269810085,0.0392927308447937,0.0111329404060249,0.031434184675835,0.66535690897184,0.783235101506221,122.580877537656,1
e48968a42223a5c3d321b76f087839798402d96407f3be4e283417c94d8860ce,0,128,256,0,1581,1553,0.0290955091714105,0.047438330170778,0.015180265654649,0.0202403542061986,0.0158127767235927,0.0196078431372549,0.043010752688172,0.0537634408602151,0.0379506641366224,0.0524984187223276,0.0423782416192283,0.0449082858950032,0.0436432637571157,0.0550284629981025,0.058191018342821,0.0480708412397217,0.0537634408602151,0.0512333965844402,0.047438330170778,0.0360531309297913,0.0506008855154965,0.0518659076533839,0.0278304870335231,0.0543959519291588,1,1.98228969006958,130.726755218216,0
619046636,0,48,22,0,534,38,0.00749063670411985,0.0112359550561798,0.052434456928839,0.0880149812734082,0.0617977528089888,0.0468164794007491,0.0374531835205993,0.0299625468164794,0.0280898876404494,0.125468164794007,0.0936329588014981,0.125468164794007,0.0430711610486891,0.0468164794007491,0.131086142322097,0.0561797752808989,0,0,0,0,0,0,0.0149812734082397,0,1,1.07116104868914,71.5917602996255,0
5b6125dbf463398268bb36b9ce059844dc93505bd3939c2b3f81a4966ad02a91,0,111,134,0,3,2,0,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1,1.66666666666667,98,0
779d9a7ddae71541de920634b43e24eab64bb3f67166a4dada1aa7a21de28cce,0,33,89,0,419,3,0,0.00238663484486874,0.00238663484486874,0.00238663484486874,0,0,0.00954653937947494,0.00477326968973747,0.15035799522673,0.0787589498806683,0,0.171837708830549,0.0883054892601432,0.0525059665871122,0.186157517899761,0.138424821002387,0.0429594272076372,0.0381861575178998,0.00715990453460621,0,0.00715990453460621,0.00477326968973747,0.00954653937947494,0.00238663484486874,1,1.00715990453461,69.8114558472554,0
17718523,121978,24012,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b3365847fe0ce8b113b8d993a736fb8d6cb4af0575e5c2996405f8b40870c4d5,0,51,227,0,291,0,0,0,0,0,0,0,0,0,0.0103092783505155,0.0240549828178694,0.127147766323024,0.18213058419244,0.0206185567010309,0.18213058419244,0.0824742268041237,0,0.371134020618557,0,0,0,0,0,0,0,1,1,68.6701030927835,0
d905545991b57224bf9870e562204fa1960d5b33c226fcd3d2cd8cb45b89fdc5,0,26,60,0,417,0,0,0,0,0,0,0,0,0.0287769784172662,0.124700239808153,0.0359712230215827,0.273381294964029,0.107913669064748,0,0.0215827338129496,0.00239808153477218,0.0503597122302158,0,0,0.261390887290168,0.026378896882494,0.0599520383693046,0.00719424460431655,0,0,1,1,73.2781774580336,0
909747860303888384,0,188,75,0,3161,118,0.0284720025308447,0.0395444479595065,0.0395444479595065,0.0594748497310978,0.0822524517557735,0.0907940525150269,0.0370136032900981,0.0389117367921544,0.0980702309395761,0.055045871559633,0.0385953812084783,0.0341664030370136,0.0430243593799431,0.0645365390699146,0.0904776969313508,0.0442897817146473,0.0322682695349573,0.0173995571021829,0.0110724454286618,0.0132869345143942,0.00632711167352104,0.00221448908573236,0.00949066751028156,0.0237266687757039,0,0,98.9721607086365,0
