選舉類型,地區,姓名,當選註記,,,,,,
1998直轄市議員選舉,臺北市,李銀來,*,,,,,,
1998直轄市議員選舉,高雄市,曾福三,*,,,,,,
2002直轄市議員選舉,臺北市第01選區,藍世聰,*,,,,,,
2002直轄市議員選舉,臺北市第01選區,吳碧珠,*,,,,,,
2002直轄市議員選舉,臺北市第01選區,陳政忠,*,,,,,,
2002直轄市議員選舉,臺北市第01選區,陳正德,*,,,,,,
2002直轄市議員選舉,臺北市第01選區,呂瀅瀅,*,,,,,,
2002直轄市議員選舉,臺北市第01選區,汪志冰,*,,,,,,
2002直轄市議員選舉,臺北市第01選區,賴素如,*,,,,,,
2002直轄市議員選舉,臺北市第01選區,陳碧峰,*,,,,,,
2002直轄市議員選舉,臺北市第01選區,潘懷宗,*,,,,,,
2002直轄市議員選舉,臺北市第01選區,王育誠,*,,,,,,
2002直轄市議員選舉,臺北市第02選區,黃珊珊,*,,,,,,
2002直轄市議員選舉,臺北市第02選區,陳義洲,*,,,,,,
2002直轄市議員選舉,臺北市第02選區,徐國勇,*,,,,,,
2002直轄市議員選舉,臺北市第02選區,李彥秀,*,,,,,,
2002直轄市議員選舉,臺北市第02選區,李建昌,*,,,,,,
2002直轄市議員選舉,臺北市第02選區,常中天,*,,,,,,
2002直轄市議員選舉,臺北市第02選區,吳世正,*,,,,,,
2002直轄市議員選舉,臺北市第03選區,陳永德,*,,,,,,
2002直轄市議員選舉,臺北市第03選區,戴錫欽,*,,,,,,
2002直轄市議員選舉,臺北市第03選區,陳孋輝,*,,,,,,
2002直轄市議員選舉,臺北市第03選區,費鴻泰,*,,,,,,
2002直轄市議員選舉,臺北市第03選區,許富男,*,,,,,,
2002直轄市議員選舉,臺北市第03選區,王正德,*,,,,,,
2002直轄市議員選舉,臺北市第03選區,楊實秋,*,,,,,,
2002直轄市議員選舉,臺北市第03選區,黃幼中,*,,,,,,
2002直轄市議員選舉,臺北市第03選區,田欣,*,,,,,,
2002直轄市議員選舉,臺北市第04選區,王浩,*,,,,,,
2002直轄市議員選舉,臺北市第04選區,王世堅,*,,,,,,
2002直轄市議員選舉,臺北市第04選區,李文英,*,,,,,,
2002直轄市議員選舉,臺北市第04選區,林晉章,*,,,,,,
2002直轄市議員選舉,臺北市第04選區,羅宗勝,*,,,,,,
2002直轄市議員選舉,臺北市第04選區,陳玉梅,*,,,,,,
2002直轄市議員選舉,臺北市第04選區,林定勇,*,,,,,,
2002直轄市議員選舉,臺北市第05選區,劉耀仁,*,,,,,,
2002直轄市議員選舉,臺北市第05選區,李仁人,*,,,,,,
2002直轄市議員選舉,臺北市第05選區,顏聖冠,*,,,,,,
2002直轄市議員選舉,臺北市第05選區,周威佑,*,,,,,,
2002直轄市議員選舉,臺北市第05選區,陳惠敏,*,,,,,,
2002直轄市議員選舉,臺北市第05選區,侯冠群,*,,,,,,
2002直轄市議員選舉,臺北市第05選區,陳嘉銘,*,,,,,,
2002直轄市議員選舉,臺北市第06選區,蔣乃辛,*,,,,,,
2002直轄市議員選舉,臺北市第06選區,周柏雅,*,,,,,,
2002直轄市議員選舉,臺北市第06選區,徐佳青,*,,,,,,
2002直轄市議員選舉,臺北市第06選區,李新,*,,,,,,
2002直轄市議員選舉,臺北市第06選區,林奕華,*,,,,,,
2002直轄市議員選舉,臺北市第06選區,李慶元,*,,,,,,
2002直轄市議員選舉,臺北市第06選區,陳錦祥,*,,,,,,
2002直轄市議員選舉,臺北市第06選區,歐陽龍,*,,,,,,
2002直轄市議員選舉,臺北市第06選區,厲耿桂芳,*,,,,,,
2002直轄市議員選舉,臺北市第06選區,王欣儀,*,,,,,,
2002直轄市議員選舉,臺北市第06選區,秦儷舫,*,,,,,,
2002直轄市議員選舉,高雄市第01選區,張省吾,*,,,,,,
2002直轄市議員選舉,高雄市第01選區,蔡松雄,*,,,,,,
2002直轄市議員選舉,高雄市第01選區,林壽山,*,,,,,,
2002直轄市議員選舉,高雄市第01選區,李喬如,*,,,,,,
2002直轄市議員選舉,高雄市第01選區,陳漢昇,*,,,,,,
2002直轄市議員選舉,高雄市第02選區,李榮宗,*,,,,,,
2002直轄市議員選舉,高雄市第02選區,戴德銘,*,,,,,,
2002直轄市議員選舉,高雄市第02選區,張清泉,*,,,,,,
2002直轄市議員選舉,高雄市第02選區,章玟琇,*,,,,,,
2002直轄市議員選舉,高雄市第02選區,藍星木,*,,,,,,
2002直轄市議員選舉,高雄市第02選區,黃石龍,*,,,,,,
2002直轄市議員選舉,高雄市第02選區,楊色玉,*,,,,,,
2002直轄市議員選舉,高雄市第02選區,蔡長根,*,,,,,,
2002直轄市議員選舉,高雄市第02選區,陳雲龍,*,,,,,,
2002直轄市議員選舉,高雄市第03選區,楊定國,*,,,,,,
2002直轄市議員選舉,高雄市第03選區,黃添財,*,,,,,,
2002直轄市議員選舉,高雄市第03選區,鄭新助,*,,,,,,
2002直轄市議員選舉,高雄市第03選區,蔡見興,*,,,,,,
2002直轄市議員選舉,高雄市第03選區,康裕成,*,,,,,,
2002直轄市議員選舉,高雄市第03選區,吳林淑敏,*,,,,,,
2002直轄市議員選舉,高雄市第03選區,曾長發,*,,,,,,
2002直轄市議員選舉,高雄市第03選區,童燕珍,*,,,,,,
2002直轄市議員選舉,高雄市第03選區,李昆澤,*,,,,,,
2002直轄市議員選舉,高雄市第03選區,劉少春,*,,,,,,
2002直轄市議員選舉,高雄市第04選區,黃芳仁,*,,,,,,
2002直轄市議員選舉,高雄市第04選區,王齡嬌,*,,,,,,
2002直轄市議員選舉,高雄市第04選區,趙天麟,*,,,,,,
2002直轄市議員選舉,高雄市第04選區,周玲妏,*,,,,,,
2002直轄市議員選舉,高雄市第04選區,許崑源,*,,,,,,
2002直轄市議員選舉,高雄市第04選區,詹永龍,*,,,,,,
2002直轄市議員選舉,高雄市第04選區,林崑山,*,,,,,,
