議員,區域,value,關係,親屬姓名
于秀英,南投縣,張啟訓妻子,妻子,張啟訓
方一峰,臺南市,方隆盛兒子,兒子,方隆盛
方隆盛,臺南市,方一峰爸爸,爸爸,方一峰
王士壬,雲林縣,王鈺齊爸爸,爸爸,王鈺齊
王文怡,臺東縣,王飛龍女兒,女兒,王飛龍
王志雄,高雄市,王玉雲兒子,兒子,王玉雲
王玉雲,高雄市,王志雄媽媽,媽媽,王志雄
王昆和,臺北市,王博昱爸爸,爸爸,王博昱
王東一,嘉義縣,王啓澧爸爸,爸爸,王啓澧
王林美足,屏東縣,王薇茗媽媽,媽媽,王薇茗
王玲惠,臺中市,鄭逢時妻子,妻子,鄭逢時
王秋冬,臺中市,朱暖英丈夫,丈夫,朱暖英
王英三,臺中市,蔡鴻文姻親,姻親,蔡鴻文
蔡鴻文,臺中市,王英三姻親,姻親,王英三
王飛龍,臺東縣,王文怡爸爸,爸爸,王文怡
王啟敏,屏東縣,王鈺榮兒子,兒子,王鈺榮
王鈺榮,屏東縣,王啟敏爸爸,爸爸,王啟敏
王啓澧,嘉義縣,王東一兒子,兒子,王東一
王博昱,臺北市,王昆和兒子,兒子,王昆和
王焜弘,嘉義縣,王焜玄哥哥,哥哥,王焜玄
王焜玄,嘉義縣,王焜弘弟弟,弟弟,王焜弘
王翔鐘,基隆市,楊秀玉公公,公公,楊秀玉
王新展,屏東縣,陳惠琴丈夫,丈夫,陳惠琴
王鈺齊,雲林縣,王士壬女兒,女兒,王士壬
王薇茗,屏東縣,王林美足女兒,女兒,王林美足
田智宣,花蓮縣,張美慧丈夫,丈夫,張美慧
白玉如,彰化縣,白鴻森姪女,姪女,白鴻森
白玉如,彰化縣,白閔傑表妹,表妹,白閔傑
白鴻森,彰化縣,白閔傑爸爸,爸爸,白閔傑
白鴻森,彰化縣,白玉如舅舅,舅舅,白玉如
白閔傑,彰化縣,白鴻森兒子,兒子,白鴻森
白閔傑,彰化縣,白玉如表哥,表哥,白玉如
白權,彰化縣,周天啟女婿,女婿,周天啟
伊斯坦大・貝雅夫・正福,高雄市,謝貴來弟弟,弟弟,謝貴來
朱文慶,高雄市,朱有福兒子,兒子,朱有福
朱安雄,高雄市,朱挺玗爸爸,爸爸,朱挺玗
朱有福,高雄市,朱文慶爸爸,爸爸,朱文慶
朱挺玗,高雄市,朱安雄女兒,女兒,朱安雄
朱暖英,臺中市,王秋冬妻子,妻子,王秋冬
江上清,新北市,江永昌表哥,表哥,江永昌
江上清,新北市,趙長江兒子,兒子,趙長江
江正吉,臺中市,江肇國爸爸,爸爸,江肇國
江永昌,新北市,趙長江外甥,外甥,趙長江
江永昌,新北市,江上清表弟,表弟,江上清
趙長江,新北市,江上清爸爸,爸爸,江上清
趙長江,新北市,江永昌舅舅,舅舅,江永昌
江玲君,高雄市,江吉源女兒,女兒,江吉源
江吉源,高雄市,江玲君爸爸,爸爸,江玲君
江堅壽,臺東縣,鄭崗山表哥,表哥,鄭崗山
江肇國,臺中市,江正吉兒子,兒子,江正吉
何志偉,臺北市,陳勝宏兒子,兒子,陳勝宏
何春木,臺中市,何敏誠爸爸,爸爸,何敏誠
何敏誠,臺中市,何春木兒子,兒子,何春木
何傳,高雄市,何義哥哥,哥哥,何義
何義,遴選,何傳哥哥,哥哥,何傳
余邦彥,新竹市,余泉霖兒子,兒子,余泉霖
余政道,高雄市,余陳月瑛兒子,兒子,余陳月瑛
余政道,高雄市,余玲雅弟弟,弟弟,余玲雅
余泉霖,新竹市,余邦彥爸爸,爸爸,余邦彥
余玲雅,高雄市,余陳月瑛女兒,女兒,余陳月瑛
余玲雅,高雄市,余政道姊姊,姊姊,余政道
余陳月瑛,高雄市,余玲雅媽媽,媽媽,余玲雅
余陳月瑛,高雄市,余政道媽媽,媽媽,余政道
吳大清,高雄市,吳陳惠珍丈夫,丈夫,吳陳惠珍
吳陳惠珍,高雄市,吳大清妻子,妻子,吳大清
吳光誠,高雄市,吳珠惠兒子,兒子,吳珠惠
吳珠惠,高雄市,吳光誠媽媽,媽媽,吳光誠
吳伯雄,桃園市,吳志剛爸爸,爸爸,吳志剛
吳志剛,臺北市,吳伯雄兒子,兒子,吳伯雄
吳秀華,臺東縣,吳俊立妹妹,妹妹,吳俊立
吳俊立,臺東縣,吳秀華哥哥,哥哥,吳秀華
吳承璋,高雄市,李蕙蕙丈夫,丈夫,李蕙蕙
吳明浩,澎湖縣,吳政杰爸爸,爸爸,吳政杰
吳南河,臺南市,吳新榮兒子,兒子,吳新榮
吳新榮,臺南市,吳南河爸爸,爸爸,吳南河
吳建志,花蓮縣,吳國棟姪子,姪子,吳國棟
吳政杰,澎湖縣,吳明浩兒子,兒子,吳明浩
吳政勳,高雄市,李雨庭丈夫,丈夫,李雨庭
吳政勳,高雄市,吳鴻鳴兒子,兒子,吳鴻鳴
吳政勳,高雄市,李真和女婿,女婿,李真和
吳政勳,高雄市,李香蘭妹夫,妹夫,李香蘭
吳禹寰,臺南市,吳健保兒子,兒子,吳健保
吳秋齡,宜蘭縣,魏炎輝妻子,妻子,魏炎輝
吳修榮,雲林縣,吳天時兒子,兒子,吳天時
吳天時,雲林縣,吳修榮爸爸,爸爸,吳修榮
吳健保,臺南市,吳禹寰爸爸,爸爸,吳禹寰
吳國棟,花蓮縣,吳建志叔叔,叔叔,吳建志
吳棋祥,南投縣,羅美玲丈夫,丈夫,羅美玲
吳瑞芳,南投縣,林民政妻子,妻子,林民政
吳蕙蘭,雲林縣,李培元妻子,妻子,李培元
吳鴻森,新竹縣,吳鴻麟哥哥,哥哥,吳鴻麟
吳鴻麟,桃園市,吳鴻森弟弟,弟弟,吳鴻森
吳鴻鳴,高雄市,李雨庭公公,公公,李雨庭
吳鴻鳴,高雄市,吳政勳爸爸,爸爸,吳政勳
吳鴻鳴,高雄市,李真和姻親,姻親,李真和
吳鴻鳴,高雄市,李香蘭姻親,姻親,李香蘭
吳瓊華,臺中市,陳健楷妻子,妻子,陳健楷
吳瓊華,臺中市,陳忠順媳婦,媳婦,陳忠順
陳健楷,臺中市,吳瓊華丈夫,丈夫,吳瓊華
陳健楷,臺中市,陳忠順兒子,兒子,陳忠順
陳忠順,臺中市,陳健楷爸爸,爸爸,陳健楷
陳忠順,臺中市,吳瓊華公公,公公,吳瓊華
呂秀惠,嘉義縣,呂鍾葉女兒,女兒,呂鍾葉
呂鍾葉,嘉義縣,呂秀惠媽媽,媽媽,呂秀惠
呂林小鳳,桃園市,呂邱葉媳婦,媳婦,呂邱葉
呂邱葉,桃園市,呂林小鳳婆婆,婆婆,呂林小鳳
宋雨蓁,新北市,宋進財女兒,女兒,宋進財
宋進財,新北市,宋雨蓁爸爸,爸爸,宋雨蓁
宋瑋莉,基隆市,林家輝妻子,妻子,林家輝
宋賢一,臺東縣,顏金成大舅,大舅,顏金成
宋賢一,臺東縣,章正輝大舅,大舅,章正輝
宋麗華,屏東縣,蔡豪妻子,妻子,蔡豪
蔡豪,屏東縣,宋麗華丈夫,丈夫,宋麗華
李子駸,臺中市,李卿雲兒子,兒子,李卿雲
李中岑,臺南市,李慶信女兒,女兒,李慶信
李仁人,臺北市,李黃恒貞,女兒,李黃恒貞
李仁人,臺北市,郭昭巖媽媽,媽媽,郭昭巖
李仁人,臺北市,李務本女兒,女兒,李務本
李黃恒貞,臺北市,李務本妻子,妻子,李務本
李黃恒貞,臺北市,李仁人媽媽,媽媽,李仁人
李黃恒貞,臺北市,郭昭巖外婆,外婆,郭昭巖
李務本,臺北市,李黃恒貞丈夫,丈夫,李黃恒貞
李務本,臺北市,李仁人爸爸,爸爸,李仁人
李務本,臺北市,郭昭巖外公,外公,郭昭巖
李元風,臺南市,李武龍叔叔,叔叔,李武龍
李天佑,臺南市,謝龍介妻舅,妻舅,謝龍介
李文正,臺南市,李啓維爸爸,爸爸,李啓維
李文英,臺北市,李順德外孫女,外孫女,李順德
李順德,高雄市,李文英外公,外公,李文英
李世斌,屏東縣,邱連輝女婿,女婿,邱連輝
李全富,臺南市,李全教弟弟,弟弟,李全教
李全教,臺南市,李全富哥哥,哥哥,李全富
李亞築,高雄市,李長生女兒,女兒,李長生
李佩玲,嘉義市,張志成妻子,妻子,張志成
李佩玲,嘉義市,鄭秀英媳婦,媳婦,鄭秀英
李佳芬,雲林縣,李明哲姊姊,姊姊,李明哲
李佳芬,雲林縣,李日貴女兒,女兒,李日貴
李日貴,雲林縣,李佳芬爸爸,爸爸,李佳芬
李忠曆,嘉義市,李廣二兒子,兒子,李廣二
李明哲,雲林縣,李佳芬弟弟,弟弟,李佳芬
李明哲,雲林縣,李日貴兒子,兒子,李日貴
李日貴,雲林縣,李明哲爸爸,爸爸,李明哲
李武龍,臺南市,李元風姪子,姪子,李元風
李芳儒,臺北市,李銀來兒子,兒子,李銀來
李金璋,臺北市,李彥秀爸爸,爸爸,李彥秀
李長生,高雄市,李亞築爸爸,爸爸,李亞築
李雨庭,高雄市,李真和女兒,女兒,李真和
李雨庭,高雄市,李香蘭妹妹,妹妹,李香蘭
李雨庭,高雄市,吳鴻鳴媳婦,媳婦,吳鴻鳴
李雨庭,高雄市,吳政勳妻子,妻子,吳政勳
李建和,新北市,李儒將爸爸,爸爸,李儒將
李建和,新北市,李儒侯叔叔,叔叔,李儒侯
李彥秀,臺北市,侯冠群妻子,妻子,侯冠群
李彥秀,臺北市,李金璋媳婦,媳婦,李金璋
李柏毅,臺北市,李新兒子,兒子,李新
李眉蓁,高雄市,李榮宗女兒,女兒,李榮宗
李香蘭,屏東縣,李真和女兒,女兒,李真和
李香蘭,屏東縣,李雨庭姊姊,姊姊,李雨庭
李香蘭,屏東縣,吳政勳大姨,大姨,吳政勳
李香蘭,屏東縣,吳鴻鳴姻親,姻親,吳鴻鳴
李卿雲,臺中市,李子駸爸爸,爸爸,李子駸
李真和,屏東縣,李香蘭爸爸,爸爸,李香蘭
李真和,屏東縣,李雨庭爸爸,爸爸,李雨庭
李真和,屏東縣,吳政勳岳父,岳父,吳政勳
李真和,屏東縣,吳鴻鳴姻親,姻親,吳鴻鳴
李偉智,臺南市,姚溪海兒子,兒子,姚溪海
李培元,雲林縣,吳蕙蘭丈夫,丈夫,吳蕙蘭
李啓維,臺南市,李文正兒子,兒子,李文正
李新,臺北市,李柏毅爸爸,爸爸,李柏毅
李榮宗,高雄市,李眉蓁爸爸,爸爸,李眉蓁
李瑪麗,屏東縣,黃國安妻子,妻子,黃國安
李瑪麗,屏東縣,黃明賢媽媽,媽媽,黃明賢
李銀來,臺北市,李芳儒爸爸,爸爸,李芳儒
李廣二,嘉義市,李忠曆爸爸,爸爸,李忠曆
李慶信,臺南市,李中岑爸爸,爸爸,李中岑
李儒侯,新北市,李儒將堂兄,堂兄,李儒將
李儒侯,新北市,李建和姪子,姪子,李建和
李儒將,新北市,李儒侯堂弟,堂弟,李儒侯
李儒將,新北市,李建和兒子,兒子,李建和
李曉鐘,桃園市,曾能芳大舅,大舅,曾能芳
李曉鐘,桃園市,陳根德姻親,姻親,陳根德
曾能芳,桃園市,李曉鐘妹夫,妹夫,李曉鐘
曾能芳,桃園市,陳根德姻親,姻親,陳根德
陳根德,桃園市,曾能芳姻親,姻親,曾能芳
陳根德,桃園市,李曉鐘姻親,姻親,李曉鐘
李蕙蕙,高雄市,吳承璋妻子,妻子,吳承璋
李錦慧,臺東縣,翁麗吟丈夫,丈夫,翁麗吟
李鎮楠,桃園市,林俐玲丈夫,丈夫,林俐玲
李寶銀,彰化縣,賴岸璋妻子,妻子,賴岸璋
杜文卿,苗栗縣,許櫻萍妹夫,妹夫,許櫻萍
杜張秀鳳,基隆市,杜却妻子,妻子,杜却
杜却,基隆市,杜張秀鳳丈夫,丈夫,杜張秀鳳
沈佑蓮,臺中市,楊秋雲大姑,大姑,楊秋雲
卓伯源,彰化縣,卓瀧助兒子,兒子,卓瀧助
卓瀧助,彰化縣,卓伯源爸爸,爸爸,卓伯源
周天啟,彰化縣,白權岳父,岳父,白權
周利根,花蓮縣,周駿宥爸爸,爸爸,周駿宥
周明德,臺南市,周麗津爸爸,爸爸,周麗津
周鍾㴴,高雄市,藍健菖舅舅,舅舅,藍健菖
周鍾㴴,高雄市,藍振源大舅,大舅,藍振源
周駿宥,花蓮縣,周利根兒子,兒子,周利根
周麗津,臺南市,周明德女兒,女兒,周明德
官文樹,嘉義縣,戴光宗爸爸,爸爸,戴光宗
林丁燦,臺南市,胡瑞男親戚,親戚,胡瑞男
林久翔,苗栗縣,林為樑姪孫,姪孫,林為樑
林久翔,苗栗縣,林為寬姪孫,姪孫,林為寬
林久翔,苗栗縣,林為恭孫子,孫子,林為恭
林久翔,苗栗縣,林佾廷兒子,兒子,林佾廷
林士昌,臺中市,林孟令爸爸,爸爸,林孟令
林水木,基隆市,林沛祥爸爸,爸爸,林沛祥
林世南,新北市,黃林玲玲爸爸,爸爸,黃林玲玲
林民政,南投縣,吳瑞芳丈夫,丈夫,吳瑞芳
林永鴻,新北市,林國雄兒子,兒子,林國雄
林光榮,新竹縣,林秉君爸爸,爸爸,林秉君
林全祿,臺南市,林全興哥哥,哥哥,林全興
林全祿,臺南市,林全義弟弟,弟弟,林全義
林全義,臺南市,林全興哥哥,哥哥,林全興
林全義,臺南市,林全祿哥哥,哥哥,林全祿
林全興,臺南市,林全義弟弟,弟弟,林全義
林全興,臺南市,林全祿弟弟,弟弟,林全祿
林李榮華,宜蘭縣,林榮星弟弟,弟弟,林榮星
林沛祥,基隆市,林水木兒子,兒子,林水木
林佩樂,臺中市,林珮涵妹妹,妹妹,林珮涵
林佾廷,苗栗縣,林為樑姪子,姪子,林為樑
林佾廷,苗栗縣,林為寬姪子,姪子,林為寬
林佾廷,苗栗縣,林為恭兒子,兒子,林為恭
林佾廷,苗栗縣,林久翔爸爸,爸爸,林久翔
林孟令,臺中市,林士昌兒子,兒子,林士昌
林宗男,南投縣,林火木兒子,兒子,林火木
林火木,南投縣,林宗男爸爸,爸爸,林宗男
林宗昆,花蓮縣,林連明兒子,兒子,林連明
林宛蓉,高雄市,郭玟成妻子,妻子,郭玟成
林岳賢,宜蘭縣,詹家甄丈夫,丈夫,詹家甄
林承勳,嘉義市,陳姿妏丈夫,丈夫,陳姿妏
林昆熠,南投縣,唐曉棻丈夫,丈夫,唐曉棻
林明正,宜蘭縣,林姿妙丈夫,丈夫,林姿妙
林姿妙,宜蘭縣,林明正妻子,妻子,林明正
林秉君,新竹縣,林光榮女兒,女兒,林光榮
林芳如,高雄市,黃登丕妻子,妻子,黃登丕
林采穎,屏東縣,許天賜妻子,妻子,許天賜
林長生,臺中市,蔡黃金雀姊夫,姊夫,蔡黃金雀
林長生,臺中市,林黃玉美丈夫,丈夫,林黃玉美
林阿坤,新北市,林銘仁爸爸,爸爸,林銘仁
林亭君,臺北市,林晉章姪女,姪女,林晉章
林俐玲,桃園市,李鎮楠妻子,妻子,李鎮楠
林保光,新竹縣,林禹佑爸爸,爸爸,林禹佑
林柏榕,臺中市,賴誠吉姻親,姻親,賴誠吉
賴誠吉,臺中市,林柏榕姻親,姻親,林柏榕
林為樑,苗栗縣,林為寬弟弟,弟弟,林為寬
林為樑,苗栗縣,林為恭弟弟,弟弟,林為恭
林為樑,苗栗縣,林佾廷叔叔,叔叔,林佾廷
林為樑,苗栗縣,林久翔叔公,叔公,林久翔
林為恭,新竹縣,林佾廷爸爸,爸爸,林佾廷
林為恭,新竹縣,林久翔爺爺,爺爺,林久翔
林為恭,新竹縣,林為樑哥哥,哥哥,林為樑
林為恭,新竹縣,林為寬弟弟,弟弟,林為寬
林為寬,苗栗縣,林為樑哥哥,哥哥,林為樑
林為寬,苗栗縣,林為恭哥哥,哥哥,林為恭
林為寬,苗栗縣,林佾廷伯伯,伯伯,林佾廷
林為寬,苗栗縣,林久翔伯公,伯公,林久翔
林盈徹,新竹市,林漢淇兒子,兒子,林漢淇
林禹佑,新竹縣,林保光兒子,兒子,林保光
林家輝,基隆市,宋瑋莉丈夫,丈夫,宋瑋莉
林晉章,臺北市,林亭君叔叔,叔叔,林亭君
林珮涵,臺中市,林佩樂姊姊,姊姊,林佩樂
林耿清,臺南市,林耿彬弟弟,弟弟,林耿彬
林耿彬,臺南市,林耿清哥哥,哥哥,林耿清
林健治,嘉義市,林振榮兒子,兒子,林振榮
林振榮,嘉義市,林健治爸爸,爸爸,林健治
林國雄,新北市,林永鴻爸爸,爸爸,林永鴻
林國慶,嘉義縣,林緗亭叔叔,叔叔,林緗亭
林國慶,嘉義縣,林崑山弟弟,弟弟,林崑山
林淑芬,雲林縣,林勝雄女兒,女兒,林勝雄
林清都,屏東縣,劉水復岳父,岳父,劉水復
林清都,屏東縣,林蔡鳯梅丈夫,丈夫,林蔡鳯梅
林清都,屏東縣,劉孟君外公,外公,劉孟君
林連明,花蓮縣,林宗昆爸爸,爸爸,林宗昆
林勝雄,雲林縣,林淑芬爸爸,爸爸,林淑芬
林琨富,雲林縣,林錫華姪子,姪子,林錫華
林進春,彰化縣,林意兒子,兒子,林意
林意,彰化縣,林進春爸爸,爸爸,林進春
林雲龍,臺中市,林獻堂兒子,兒子,林獻堂
林黃玉美,臺中市,蔡黃金雀姊姊,姊姊,蔡黃金雀
林黃玉美,臺中市,林長生妻子,妻子,林長生
林滄敏,彰化縣,林滄喜弟弟,弟弟,林滄喜
林滄喜,彰化縣,林滄敏哥哥,哥哥,林滄敏
林義一,新北市,張晉婷公公,公公,張晉婷
林裔綺,新北市,顏世雄妻子,妻子,顏世雄
林榮星,宜蘭縣,林李榮華哥哥,哥哥,林李榮華
林漢淇,新竹市,林盈徹爸爸,爸爸,林盈徹
林碧梧,臺中市,陳武璋妻子,妻子,陳武璋
陳武璋,高雄市,林碧梧丈夫,丈夫,林碧梧
林銘仁,新北市,林阿坤兒子,兒子,林阿坤
林慶鎮,臺南市,陳碧玉丈夫,丈夫,陳碧玉
林緗亭,嘉義縣,林崑山女兒,女兒,林崑山
林緗亭,嘉義縣,林國慶姪女,姪女,林國慶
林崑山,嘉義縣,林國慶哥哥,哥哥,林國慶
林崑山,嘉義縣,林緗亭女兒,女兒,林緗亭
林蔡鳯梅,屏東縣,林清都妻子,妻子,林清都
林蔡鳯梅,屏東縣,劉水復岳母,岳母,劉水復
林蔡鳯梅,屏東縣,劉孟君外婆,外婆,劉孟君
林錫華,雲林縣,林琨富叔叔,叔叔,林琨富
林聯登,澎湖縣,鄭大洽姻親,姻親,鄭大洽
林寶瓶,嘉義縣,楊秀琴丈夫,丈夫,楊秀琴
林獻堂,臺中市,林雲龍爸爸,爸爸,林雲龍
邱名璋,屏東縣,邱茂男兒子,兒子,邱茂男
邱垂益,新北市,邱烽堯爸爸,爸爸,邱烽堯
邱泉華,新竹縣,邱鏡淳爸爸,爸爸,邱鏡淳
邱茂男,屏東縣,邱名璋爸爸,爸爸,邱名璋
邱烽堯,新北市,邱垂益兒子,兒子,邱垂益
邱莉莉,臺南市,邱鴻祥姪女,姪女,邱鴻祥
邱莉莉,臺南市,邱文明堂妹,堂妹,邱文明
邱鴻祥,臺南市,邱文明伯伯,伯伯,邱文明
邱鴻祥,臺南市,邱莉莉伯伯,伯伯,邱莉莉
邱文明,臺南市,邱鴻祥姪子,姪子,邱鴻祥
邱文明,臺南市,邱莉莉堂哥,堂哥,邱莉莉
邱連輝,屏東縣,李世斌岳父,岳父,李世斌
邱鏡淳,新竹縣,邱泉華兒子,兒子,邱泉華
邱顯二,桃園市,陳治文丈夫,丈夫,陳治文
侯金良,嘉義市,張敏琪姻親,姻親,張敏琪
侯冠群,臺北市,李彥秀丈夫,丈夫,李彥秀
姚溪海,臺南市,李偉智爸爸,爸爸,李偉智
施乃如,新竹市,魏秀珍姪女,姪女,魏秀珍
施華芬,彰化縣,黃健彰媽媽,媽媽,黃健彰
黃健彰,彰化縣,施華芬兒子,兒子,施華芬
洪木村,彰化縣,洪葉玉貞丈夫,丈夫,洪葉玉貞
洪木村,彰化縣,洪崇雄爸爸,爸爸,洪崇雄
洪葉玉貞,彰化縣,洪木村妻子,妻子,洪木村
洪葉玉貞,彰化縣,洪崇雄媽媽,媽媽,洪崇雄
洪崇雄,彰化縣,洪葉玉貞兒子,兒子,洪葉玉貞
洪崇雄,彰化縣,洪木村兒子,兒子,洪木村
胡瑞男,臺南市,林丁燦親戚,親戚,林丁燦
唐瑞明,臺南市,唐儀靜爸爸,爸爸,唐儀靜
唐瑞明,臺南市,唐碧娥哥哥,哥哥,唐碧娥
唐碧娥,臺南市,唐儀靜姑姑,姑姑,唐儀靜
唐碧娥,臺南市,唐瑞明妹妹,妹妹,唐瑞明
唐儀靜,臺南市,唐瑞明女兒,女兒,唐瑞明
唐儀靜,臺南市,唐碧娥姪女,姪女,唐碧娥
唐曉棻,南投縣,林昆熠妻子,妻子,林昆熠
徐世勲,臺北市,徐欣瑩弟弟,弟弟,徐欣瑩
徐永煌,苗栗縣,徐阿發兒子,兒子,徐阿發
徐永滿,花蓮縣,黃馨爸爸,爸爸,黃馨
徐佳青,臺北市,徐國勇姪女,姪女,徐國勇
徐欣瑩,新竹縣,徐世勲姊姊,姊姊,徐世勲
徐阿發,苗栗縣,徐永煌爸爸,爸爸,徐永煌
徐國勇,臺北市,徐佳青叔叔,叔叔,徐佳青
徐輝國,花蓮縣,徐秀春兒子,兒子,徐秀春
徐秀春,花蓮縣,徐輝國爸爸,爸爸,徐輝國
翁瑞珠,高雄市,黃萬全妻子,妻子,黃萬全
翁瑞珠,高雄市,黃秋媖媽媽,媽媽,黃秋媖
翁麗吟,臺東縣,李錦慧妻子,妻子,李錦慧
高順賢,澎湖縣,高龍雄爸爸,爸爸,高龍雄
高龍雄,澎湖縣,高順賢兒子,兒子,高順賢
張之豪,基隆市,游祥耀外甥,外甥,游祥耀
張太陽,苗栗縣,張可欣爸爸,爸爸,張可欣
張木海,新竹縣,葉芬英丈夫,丈夫,葉芬英
張火爐,桃園市,鄭淑方姊夫,姊夫,鄭淑方
張可欣,苗栗縣,張太陽女兒,女兒,張太陽
張全馨嵐,臺東縣,張順成媳婦,媳婦,張順成
張再扶,澎湖縣,張貴洲叔叔,叔叔,張貴洲
張再扶,澎湖縣,張再興哥哥,哥哥,張再興
張再興,澎湖縣,張貴洲伯叔,伯叔,張貴洲
張再興,澎湖縣,張再扶弟弟,弟弟,張再扶
張宏年,臺中市,張彥彤爸爸,爸爸,張彥彤
張宏年,臺中市,張光儀兒子,兒子,張光儀
張志宇,苗栗縣,張森鴻兒子,兒子,張森鴻
張志成,嘉義市,鄭秀英兒子,兒子,鄭秀英
張志成,嘉義市,李佩玲丈夫,丈夫,李佩玲
鄭秀英,嘉義市,張志成媽媽,媽媽,張志成
鄭秀英,嘉義市,李佩玲婆婆,婆婆,李佩玲
張秀華,嘉義市,張東坤女兒,女兒,張東坤
張秀華,嘉義市,張炳文哥哥,哥哥,張炳文
張東正,彰化縣,陳銌銌丈夫,丈夫,陳銌銌
張東坤,嘉義市,張炳文爸爸,爸爸,張炳文
張東坤,嘉義市,張秀華爸爸,爸爸,張秀華
張秉鈞,基隆市,張錦煌兒子,兒子,張錦煌
張彥彤,臺中市,張宏年兒子,兒子,張宏年
張彥彤,臺中市,張光儀孫子,孫子,張光儀
張光儀,臺中市,張宏年爸爸,爸爸,張宏年
張光儀,臺中市,張彥彤爺爺,爺爺,張彥彤
張炳文,嘉義市,張秀華弟弟,弟弟,張秀華
張炳文,嘉義市,張東坤兒子,兒子,張東坤
張美慧,花蓮縣,田智宣妻子,妻子,田智宣
張家銨,臺中市,劉淑蘭女兒,女兒,劉淑蘭
張家靜,苗栗縣,黃芳椿妻子,妻子,黃芳椿
張振生,基隆市,張堅華爸爸,爸爸,張堅華
張晉婷,新北市,林義一媳婦,媳婦,林義一
張堅華,基隆市,張振生兒子,兒子,張振生
張彩鳳,新北市,張祥傳女兒,女兒,張祥傳
張祥傳,新北市,張彩鳳爸爸,爸爸,張彩鳳
張啟訓,南投縣,于秀英丈夫,丈夫,于秀英
張敏琪,嘉義市,侯金良姻親,姻親,侯金良
張淑芬,苗栗縣,游忠鈿妻子,妻子,游忠鈿
張淵翔,基隆市,張通榮兒子,兒子,張通榮
張清堂,臺中市,張清照哥哥,哥哥,張清照
張清照,臺中市,張清堂弟弟,弟弟,張清堂
張通榮,基隆市,張淵翔爸爸,爸爸,張淵翔
張森鴻,苗栗縣,張志宇爸爸,爸爸,張志宇
張貴木,桃園市,張肇良爸爸,爸爸,張肇良
張貴洲,澎湖縣,張再興姪子,姪子,張再興
張貴洲,澎湖縣,張再扶姪子,姪子,張再扶
張順成,臺東縣,張全馨嵐公公,公公,張全馨嵐
張瑞山,新北市,張維倩爸爸,爸爸,張維倩
張經魁,南投縣,張維華爸爸,爸爸,張維華
張嘉瀧,嘉義縣,黃芳蘭丈夫,丈夫,黃芳蘭
張廖乃綸,臺中市,張廖貴專女兒,女兒,張廖貴專
張廖貴專,臺中市,張廖乃綸爸爸,爸爸,張廖乃綸
張福興,花蓮縣,劉學良妹夫,妹夫,劉學良
張福興,花蓮縣,張阿古兒子,兒子,張阿古
劉學良,花蓮縣,張福興大舅,大舅,張福興
劉學良,花蓮縣,張阿古姻親,姻親,張阿古
張阿古,花蓮縣,張福興爸爸,爸爸,張福興
張阿古,花蓮縣,劉學良姻親,姻親,劉學良
張維倩,新北市,張瑞山女兒,女兒,張瑞山
張維華,南投縣,張經魁兒子,兒子,張經魁
張肇良,桃園市,張貴木兒子,兒子,張貴木
張錦煌,基隆市,張秉鈞爸爸,爸爸,張秉鈞
張錫祺,新竹縣,顏興外孫,外孫,顏興
顏興,臺南市,張錫祺舅舅,舅舅,張錫祺
張豐緒,屏東縣,黃朝琴外甥女婿,外甥女婿,黃朝琴
張豐緒,屏東縣,陳中和孫女婿,孫女婿,陳中和
張豐緒,屏東縣,陳啟峰姪女婿,姪女婿,陳啟峰
張豐緒,屏東縣,陳啟川姪女婿,姪女婿,陳啟川
張豐緒,屏東縣,陳啟清女婿,女婿,陳啟清
張豐緒,屏東縣,陳田錨妹夫,妹夫,陳田錨
曹明正,彰化縣,曹嘉豪爸爸,爸爸,曹嘉豪
曹嘉豪,彰化縣,曹明正兒子,兒子,曹明正
梁許春菊,臺南市,梁道媳婦,媳婦,梁道
梁道,臺南市,梁許春菊公公,公公,梁許春菊
粘明隆,彰化縣,粘仲仁哥哥,哥哥,粘仲仁
粘仲仁,彰化縣,粘明隆弟弟,弟弟,粘明隆
莊玉珠,臺南市,蔡介雄媳婦,媳婦,蔡介雄
許天賜,屏東縣,林采穎丈夫,丈夫,林采穎
許正雄,高雄市,許慧玉爸爸,爸爸,許慧玉
許正鴻,新北市,許再恩兒子,兒子,許再恩
許再恩,新北市,許正鴻爸爸,爸爸,許正鴻
許阿甘,南投縣,陳宜君媽媽,媽媽,陳宜君
許炳崑,新北市,陳萬富女婿,女婿,陳萬富
陳萬富,新北市,許炳崑岳父,岳父,許炳崑
許家蓓,臺北市,許富男女兒,女兒,許富男
許記盛,澎湖縣,許麗音爸爸,爸爸,許麗音
許崑源,高雄市,許昆龍弟弟,弟弟,許昆龍
許昆龍,高雄市,許崑源哥哥,哥哥,許崑源
許富男,臺北市,許家蓓爸爸,爸爸,許家蓓
許慧玉,高雄市,許正雄女兒,女兒,許正雄
許麗音,澎湖縣,許記盛女兒,女兒,許記盛
許櫻萍,苗栗縣,杜文卿大姨,大姨,杜文卿
郭玟成,高雄市,林宛蓉丈夫,丈夫,林宛蓉
郭昭巖,臺北市,李仁人女兒,女兒,李仁人
郭昭巖,臺北市,李黃恒貞外孫女,外孫女,李黃恒貞
郭昭巖,臺北市,李務本外孫女,外孫女,李務本
郭燕陵,彰化縣,郭國賓女兒,女兒,郭國賓
郭國賓,彰化縣,郭燕陵爸爸,爸爸,郭燕陵
