選舉類型,地區,姓名
2018縣市議員選舉,連江縣,王孝榛
2018縣市議員選舉,連江縣,張永江
2018縣市議員選舉,金門縣,許玉昭
2018縣市議員選舉,金門縣,李養生
2018縣市議員選舉,金門縣,楊永立
2018縣市議員選舉,金門縣,王碧珍
2018縣市議員選舉,金門縣,許建中
2018縣市議員選舉,金門縣,董森堡
2018縣市議員選舉,金門縣,洪允典
2018縣市議員選舉,金門縣,唐麗輝
2018縣市議員選舉,金門縣,歐陽儀雄
2018縣市議員選舉,金門縣,石永城
2018縣市議員選舉,金門縣,張雲德
2018縣市議員選舉,金門縣,蔡水游
2018縣市議員選舉,金門縣,李應文
2018縣市議員選舉,金門縣,陳志龍
2018縣市議員選舉,金門縣,周子傑
2018縣市議員選舉,金門縣,蔡春生
2018縣市議員選舉,金門縣,洪成發
2018縣市議員選舉,金門縣,洪鴻斌
2018縣市議員選舉,宜蘭縣,黃定和
2018縣市議員選舉,宜蘭縣,林錫明
2018縣市議員選舉,宜蘭縣,楊順木
2018縣市議員選舉,宜蘭縣,莊淑如
2018縣市議員選舉,宜蘭縣,林麗
2018縣市議員選舉,宜蘭縣,林岳賢
2018縣市議員選舉,宜蘭縣,張建榮
2018縣市議員選舉,宜蘭縣,蔡文益
2018縣市議員選舉,宜蘭縣,賴良洲
2018縣市議員選舉,宜蘭縣,李清林
2018縣市議員選舉,宜蘭縣,吳宏謀
2018縣市議員選舉,宜蘭縣,陳俊宇
2018縣市議員選舉,宜蘭縣,黃浴沂
2018縣市議員選舉,宜蘭縣,黃建勇
2018縣市議員選舉,宜蘭縣,陳福山
2018縣市議員選舉,宜蘭縣,陳鴻禧
2018縣市議員選舉,宜蘭縣,黃琤婷
2018縣市議員選舉,宜蘭縣,劉添梧
2018縣市議員選舉,宜蘭縣,陳漢鍾
2018縣市議員選舉,宜蘭縣,呂惠卿
2018縣市議員選舉,宜蘭縣,簡松樹
2018縣市議員選舉,宜蘭縣,林義剛
2018縣市議員選舉,宜蘭縣,蔡金惠
2018縣市議員選舉,宜蘭縣,楊弘旻
2018縣市議員選舉,宜蘭縣,張秋明
2018縣市議員選舉,宜蘭縣,邱素梅
2018縣市議員選舉,宜蘭縣,謝燦輝
2018縣市議員選舉,宜蘭縣,陳文昌
2018縣市議員選舉,宜蘭縣,林棋山
2018縣市議員選舉,宜蘭縣,林騰煌
2018縣市議員選舉,宜蘭縣,陳玉萍
2018縣市議員選舉,新竹縣,陳凱榮
2018縣市議員選舉,新竹縣,張珈源
2018縣市議員選舉,新竹縣,連郁婷
2018縣市議員選舉,新竹縣,蔡志環
2018縣市議員選舉,新竹縣,王炳漢
2018縣市議員選舉,新竹縣,吳旭智
2018縣市議員選舉,新竹縣,杜文中
2018縣市議員選舉,新竹縣,邱靖雅
2018縣市議員選舉,新竹縣,林禹佑
2018縣市議員選舉,新竹縣,林增堂
2018縣市議員選舉,新竹縣,鄭美琴
2018縣市議員選舉,新竹縣,吳菊花
2018縣市議員選舉,新竹縣,甄克堅
2018縣市議員選舉,新竹縣,羅美文
2018縣市議員選舉,新竹縣,陳栢維
2018縣市議員選舉,新竹縣,吳淑君
2018縣市議員選舉,新竹縣,何智達
2018縣市議員選舉,新竹縣,張鎮榮
2018縣市議員選舉,新竹縣,吳傳地
2018縣市議員選舉,新竹縣,羅仕琦
2018縣市議員選舉,新竹縣,吳發仁
2018縣市議員選舉,新竹縣,范曰富
2018縣市議員選舉,新竹縣,陳新源
2018縣市議員選舉,新竹縣,張良印
2018縣市議員選舉,新竹縣,鄭昱芸
2018縣市議員選舉,新竹縣,彭余美玲
2018縣市議員選舉,新竹縣,黃豪杰
2018縣市議員選舉,新竹縣,上官秋燕
2018縣市議員選舉,新竹縣,余筱菁
2018縣市議員選舉,新竹縣,郭遠彰
2018縣市議員選舉,新竹縣,林思銘
2018縣市議員選舉,新竹縣,邱振瑋
2018縣市議員選舉,新竹縣,陳正順
2018縣市議員選舉,苗栗縣,楊明燁
2018縣市議員選舉,苗栗縣,鄭碧玉
2018縣市議員選舉,苗栗縣,謝文禓
2018縣市議員選舉,苗栗縣,余文忠
2018縣市議員選舉,苗栗縣,張志宇
2018縣市議員選舉,苗栗縣,江村貴
2018縣市議員選舉,苗栗縣,孫素娥
2018縣市議員選舉,苗栗縣,禹耀東
2018縣市議員選舉,苗栗縣,湯維岳
2018縣市議員選舉,苗栗縣,黃芳椿
2018縣市議員選舉,苗栗縣,韓茂賢
2018縣市議員選舉,苗栗縣,羅貴星
2018縣市議員選舉,苗栗縣,徐永煌
2018縣市議員選舉,苗栗縣,張顧礫
2018縣市議員選舉,苗栗縣,張可欣
2018縣市議員選舉,苗栗縣,陳品安
2018縣市議員選舉,苗栗縣,鄭宗國
2018縣市議員選舉,苗栗縣,林寶珠
2018縣市議員選舉,苗栗縣,陳碧華
2018縣市議員選舉,苗栗縣,宋國鼎
2018縣市議員選舉,苗栗縣,李文斌
2018縣市議員選舉,苗栗縣,鄭秋風
2018縣市議員選舉,苗栗縣,廖英利
2018縣市議員選舉,苗栗縣,劉順松
2018縣市議員選舉,苗栗縣,廖秀紅
2018縣市議員選舉,苗栗縣,張佳玲
2018縣市議員選舉,苗栗縣,陳光軒
2018縣市議員選舉,苗栗縣,黎煥強
2018縣市議員選舉,苗栗縣,鄭聚然
2018縣市議員選舉,苗栗縣,張淑芬
2018縣市議員選舉,苗栗縣,曾玟學
2018縣市議員選舉,苗栗縣,鍾東錦
2018縣市議員選舉,苗栗縣,徐功凡
2018縣市議員選舉,苗栗縣,楊恭林
2018縣市議員選舉,苗栗縣,徐欽鴻
2018縣市議員選舉,彰化縣,白玉如
2018縣市議員選舉,彰化縣,許原龍
2018縣市議員選舉,彰化縣,顧黃水花
2018縣市議員選舉,彰化縣,吳韋達
2018縣市議員選舉,彰化縣,黃千宴
2018縣市議員選舉,彰化縣,洪柏葳
2018縣市議員選舉,彰化縣,莊陞漢
2018縣市議員選舉,彰化縣,温芝樺
2018縣市議員選舉,彰化縣,林茂明
2018縣市議員選舉,彰化縣,陳銌銌
2018縣市議員選舉,彰化縣,張瀚天
2018縣市議員選舉,彰化縣,李成濟
2018縣市議員選舉,彰化縣,李寶銀
2018縣市議員選舉,彰化縣,黃俊源
2018縣市議員選舉,彰化縣,楊竣程
2018縣市議員選舉,彰化縣,陳秀寳
