date.x,domain,title,url
2019-06-28,蘋果日報,長榮航：成立30年平均每年僅賺5億　年終獎金沒停過｜長榮空服罷工｜火線話題｜蘋果新聞網｜蘋果日報,https://tw.appledaily.com/column/article/862/rnews/20190628/1591141/
2019-06-28,蘋果日報,【30年每年平均只賺5億】長榮航：年終獎金沒停過｜長榮空服罷工｜火線話題｜蘋果新聞網｜蘋果日報,https://tw.appledaily.com/column/article/862/rnews/20190628/1591141
2019-06-28,蘋果日報,【長榮罷工1】新八點訴求陷膠著　今晚北市辦罷工晚會｜長榮空服罷工｜火線話題｜蘋果新聞網｜蘋果日報,https://tw.appledaily.com/column/article/862/rnews/20190628/1591139/
2019-06-28,蘋果日報,【不斷更新】長榮勞資協商有共識　工會明宣布是否結束罷工｜長榮空服罷工｜火線話題｜蘋果新聞網｜蘋果日報,https://tw.appledaily.com/column/article/862/rnews/20190628/1591139
2019-06-28,蘋果日報,【停飛資訊】罷工持續！長榮今取消117班次　至7/7逾20萬人受影響｜長榮空服罷工｜火線話題｜蘋果新聞網｜蘋果日報,https://tw.appledaily.com/column/article/862/rnews/20190628/1591094/
2019-06-28,蘋果日報,【停飛新訊】長榮再砍5天航班　暑假7/1起停飛達731班次｜長榮空服罷工｜火線話題｜蘋果新聞網｜蘋果日報,https://tw.appledaily.com/column/article/862/rnews/20190628/1591094
2019-06-28,蘋果日報,【長榮罷工2】兵分兩路！空服工會北上辦集氣晚會挽聲量｜長榮空服罷工｜火線話題｜蘋果新聞網｜蘋果日報,https://tw.appledaily.com/column/article/862/rnews/20190628/1590956
2019-06-28,蘋果日報,【長榮罷工18】長榮罷工第8天　空服員捧玫瑰花相互擁抱打氣｜長榮空服罷工｜火線話題｜蘋果新聞網｜蘋果日報,https://tw.appledaily.com/column/article/862/rnews/20190627/1591106
2019-06-28,蘋果日報,【長榮罷工18】民眾謊稱長榮董座提四項回應　長榮嚴正否認：將採取法律行動｜長榮空服罷工｜火線話題｜蘋果新聞網｜蘋果日報,https://tw.appledaily.com/column/article/862/rnews/20190627/1591104
2019-06-28,蘋果日報,【長榮罷工日誌第8天】《蘋果》幫你整理　3分鐘掌握始末｜長榮空服罷工｜火線話題｜蘋果新聞網｜蘋果日報,https://tw.appledaily.com/column/article/862/rnews/20190627/1591095
2019-06-28,蘋果日報,【長榮罷工17】長榮罷工第8天　前台中縣長廖永來呼籲資方良善回應｜長榮空服罷工｜火線話題｜蘋果新聞網｜蘋果日報,https://tw.appledaily.com/column/article/862/rnews/20190627/1591086
2019-06-28,蘋果日報,【長榮罷工16】勞資可望重啟談判　桃機旅客：應逐一恢復人力｜長榮空服罷工｜火線話題｜蘋果新聞網｜蘋果日報,https://tw.appledaily.com/column/article/862/rnews/20190627/1591046
2019-06-28,蘋果日報,【長榮罷工15】高雄市產業總工會相挺　盼空服員堅持到底｜長榮空服罷工｜火線話題｜蘋果新聞網｜蘋果日報,https://tw.appledaily.com/column/article/862/rnews/20190627/1591012
2019-06-28,蘋果日報,【長榮罷工14】被噹「說太多」　交通部噤聲：問勞動部｜長榮空服罷工｜火線話題｜蘋果新聞網｜蘋果日報,https://tw.appledaily.com/column/article/862/rnews/20190627/1590987
